Article Title,Source Title,"Times Cited, All Databases",Publication Year
Optimizing Phylogenetic Networks for Circular Split Systems,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,2,2012
Not all phylogenetic networks are leaf-reconstructible,JOURNAL OF MATHEMATICAL BIOLOGY,1,2019
On the quirks of maximum parsimony and likelihood on phylogenetic networks,JOURNAL OF THEORETICAL BIOLOGY,10,2017
Hypercubes and Hamilton cycles of display sets of rooted phylogenetic networks,ADVANCES IN APPLIED MATHEMATICS,0,2024
Metrics for Phylogenetic Networks I: Generalizations of the Robinson-Foulds Metric,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,51,2009
Quartet-Net: A Quartet-Based Method to Reconstruct Phylogenetic Networks,MOLECULAR BIOLOGY AND EVOLUTION,25,2013
Birds in a bush: Toward an avian phylogenetic network,AUK,17,2016
Phylogenetic network analysis as a parsimony optimization problem,BMC BIOINFORMATICS,18,2015
A Metric on the Space of kth-order reduced Phylogenetic Networks,SCIENTIFIC REPORTS,0,2017
The phylogenetic structure of plant facilitation networks changes with competition,JOURNAL OF ECOLOGY,34,2010
StrainHub: a phylogenetic tool to construct pathogen transmission networks,BIOINFORMATICS,20,2020
Algorithms for visualizing phylogenetic networks,THEORETICAL COMPUTER SCIENCE,1,2020
IcyTree: rapid browser-based visualization for phylogenetic trees and networks,BIOINFORMATICS,75,2017
Phylogenetic reconstruction using an unsupervised growing neural network that adopts the topology of a phylogenetic tree,JOURNAL OF MOLECULAR EVOLUTION,155,1997
Defining Phylogenetic Network Distances Using Cherry Operations,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,1,2023
An algorithm for reconstructing level-2 phylogenetic networks from trinets,INFORMATION PROCESSING LETTERS,1,2022
Level-1 phylogenetic networks and their balanced minimum evolution polytopes,JOURNAL OF MATHEMATICAL BIOLOGY,5,2020
Solving the tree containment problem in linear time for nearly stable phylogenetic networks,DISCRETE APPLIED MATHEMATICS,13,2018
Phylogenetic super-networks from partial trees,"ALGORITHMS IN BIOINFORMATICS, PROCEEDINGS",6,2004
Determining phylogenetic networks from inter-taxa distances,JOURNAL OF MATHEMATICAL BIOLOGY,26,2016
A Space of Phylogenetic Networks,SIAM JOURNAL ON APPLIED ALGEBRA AND GEOMETRY,4,2017
A class of phylogenetic networks reconstructable from ancestral profiles,MATHEMATICAL BIOSCIENCES,18,2019
Lost in space? Generalising subtree prune and regraft to spaces of phylogenetic networks,JOURNAL OF THEORETICAL BIOLOGY,18,2017
Likelihood analysis of phylogenetic networks using directed graphical models,MOLECULAR BIOLOGY AND EVOLUTION,69,2000
Maximum Parsimony Inference of Phylogenetic Networks in the Presence of Polyploid Complexes,SYSTEMATIC BIOLOGY,10,2022
Reconstruction of Certain Phylogenetic Networks from Their Tree-Average Distances,BULLETIN OF MATHEMATICAL BIOLOGY,9,2013
Ranking Top-k Trees in Tree-Based Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,0,2023
T-REX: reconstructing and visualizing phylogenetic trees and reticulation networks,BIOINFORMATICS,125,2001
SiPhyNetwork: An R package for simulating phylogenetic networks,METHODS IN ECOLOGY AND EVOLUTION,2,2023
TripNet: A Method for Constructing Rooted Phylogenetic Networks from Rooted Triplets,PLOS ONE,7,2014
Efficient parsimony-based methods for phylogenetic network reconstruction,BIOINFORMATICS,49,2007
Bayesian inference of phylogenetic networks from bi-allelic genetic markers,PLOS COMPUTATIONAL BIOLOGY,33,2018
Compression of Phylogenetic Networks and Algorithm for the Tree Containment Problem,JOURNAL OF COMPUTATIONAL BIOLOGY,7,2019
Improved Fixed-Parameter Algorithm for the Tree Containment Problem on Unrooted Phylogenetic Network,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,0,2022
Reconstructing a Phylogenetic Level-1 Network from Quartets,BULLETIN OF MATHEMATICAL BIOLOGY,6,2014
Phylogenetic networks: A tool to display character conflict and demographic history,AFRICAN JOURNAL OF BIOTECHNOLOGY,49,2011
Reconstructing an ultrametric galled phylogenetic network from a distance matrix,"MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE 2005, PROCEEDINGS",4,2005
A STRUCTURE THEOREM FOR ROOTED BINARY PHYLOGENETIC NETWORKS AND ITS IMPLICATIONS FOR TREE-BASED NETWORKS\ast,SIAM JOURNAL ON DISCRETE MATHEMATICS,2,2021
A Comparison of Phylogenetic Network Methods Using Computer Simulation,PLOS ONE,108,2008
Weak phylogenetic signal for specialisation in antagonistic liana-tree networks,PLANT ECOLOGY & DIVERSITY,7,2015
Modelling phylogenetic relationships using reticulated networks,ZOOLOGICA SCRIPTA,18,2004
Fast algorithms for computing the tripartition-based distance between phylogenetic networks,JOURNAL OF COMBINATORIAL OPTIMIZATION,3,2007
Fast algorithms for computing the tripartition-based distance between phylogenetic networks,ALGORITHMS AND COMPUTATION,0,2005
A pattern recognition-based approach for phylogenetic network construction with constrained recombination,PATTERN RECOGNITION,4,2006
A maximum pseudo-likelihood approach for phylogenetic networks,BMC GENOMICS,144,2015
Constructing circular phylogenetic networks from weighted quartets using simulated annealing,MATHEMATICAL BIOSCIENCES,1,2012
A reconstruction problem for a class of phylogenetic networks with lateral gene transfers,ALGORITHMS FOR MOLECULAR BIOLOGY,11,2015
Size of a phylogenetic network,DISCRETE APPLIED MATHEMATICS,3,2017
"Protecting biodiversity via conservation networks: Taxonomic, functional, and phylogenetic considerations",BIOLOGICAL CONSERVATION,4,2023
Refining Regulatory Networks through Phylogenetic Transfer of Information,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,7,2012
Reconstructing Phylogenetic Level-1 Networks from Nondense Binet and Trinet Sets,ALGORITHMICA,21,2017
A fast and scalable method for inferring phylogenetic networks from trees by aligning lineage taxon strings,GENOME RESEARCH,1,2023
Identifiability of tree-child phylogenetic networks under a probabilistic recombination-mutation model of evolution,JOURNAL OF THEORETICAL BIOLOGY,8,2018
QS-Net: Reconstructing Phylogenetic Networks Based on Quartet and Sextet,FRONTIERS IN GENETICS,7,2019
A branching process with coalescence to model random phylogenetic networks,ELECTRONIC JOURNAL OF PROBABILITY,0,2024
A network perspective on the topological importance of enzymes and their phylogenetic conservation,BMC BIOINFORMATICS,39,2007
Computing the Rooted Triplet Distance Between Phylogenetic Networks,ALGORITHMICA,0,2021
Inferring Phylogenetic Networks with Maximum Pseudolikelihood under Incomplete Lineage Sorting,PLOS GENETICS,313,2016
Autumn Algorithm-Computation of Hybridization Networks for Realistic Phylogenetic Trees,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,10,2018
Hierarchies from Lowest Stable Ancestors in Nonbinary Phylogenetic Networks,JOURNAL OF CLASSIFICATION,2,2019
Network dynamics of eukaryotic LTR retroelements beyond phylogenetic trees,BIOLOGY DIRECT,125,2009
Reconstructibility of unrooted level-k phylogenetic networks from distances,ADVANCES IN APPLIED MATHEMATICS,5,2020
An evolutionary algorithm based on parsimony for the multiobjective phylogenetic network inference problem,APPLIED SOFT COMPUTING,0,2023
An evolutionary approach to the inference of phylogenetic networks,"PARALLEL PROBLEM SOLVING FROM NATURE - PPSN IX, PROCEEDINGS",0,2006
Phylogenetic convolutional neural networks in metagenomics,BMC BIOINFORMATICS,56,2018
Beta and phylogenetic diversities tell complementary stories about ecological networks biogeography,PARASITOLOGY,0,2021
A decomposition theory for phylogenetic networks and incompatible characters,JOURNAL OF COMPUTATIONAL BIOLOGY,37,2007
Using directed phylogenetic networks to retrace species dispersal history,MOLECULAR PHYLOGENETICS AND EVOLUTION,9,2012
Phylogenetic network analysis of SARS-CoV-2 genomes,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,540,2020
A divide-and-conquer method for scalable phylogenetic network inference from multilocus data,BIOINFORMATICS,11,2019
Phylogenetic analysis of modularity in protein interaction networks,BMC BIOINFORMATICS,30,2009
Identifiability of local and global features of phylogenetic networks from average distances,JOURNAL OF MATHEMATICAL BIOLOGY,5,2023
Phylogenetic networks do not need to be complex: using fewer reticulations to represent conflicting clusters,BIOINFORMATICS,45,2010
Algorithms for Reticulate Networks of Multiple Phylogenetic Trees,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,28,2012
Distinguishing level-1 phylogenetic networks on the basis of data generated by Markov processes,JOURNAL OF MATHEMATICAL BIOLOGY,4,2021
PSA: an effective method for predicting horizontal gene transfers through parsimonious phylogenetic networks,CLADISTICS,0,2024
Properties of Normal Phylogenetic Networks,BULLETIN OF MATHEMATICAL BIOLOGY,36,2010
Quartet-based methods to reconstruct phylogenetic networks,BMC SYSTEMS BIOLOGY,20,2014
Combinatorial Scoring of Phylogenetic Trees and Networks Based on Homoplasy-Free Characters,JOURNAL OF COMPUTATIONAL BIOLOGY,2,2018
Dendroscope 3: An Interactive Tool for Rooted Phylogenetic Trees and Networks,SYSTEMATIC BIOLOGY,1277,2012
Exploring the Tiers of Rooted Phylogenetic Network Space Using Tail Moves,BULLETIN OF MATHEMATICAL BIOLOGY,15,2018
Constructing phylogenetic networks via cherry picking and machine learning,ALGORITHMS FOR MOLECULAR BIOLOGY,1,2023
The Comparison of Tree-Sibling Time Consistent Phylogenetic Networks Is Graph Isomorphism-Complete,SCIENTIFIC WORLD JOURNAL,4,2014
Phylogenetic tree shape and the structure of mutualistic networks,JOURNAL OF ECOLOGY,14,2014
Constructing Level-2 Phylogenetic Networks from Triplets,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,44,2009
Traits and phylogenetic history contribute to network structure across Canadian plant-pollinator communities,OECOLOGIA,39,2014
Dispersal syndromes mediate phylogenetic distance decay relationships in a dendritic stream network,JOURNAL OF BIOGEOGRAPHY,0,2023
Comparing and Simplifying Distinct-Cluster Phylogenetic Networks,ANNALS OF COMBINATORICS,0,2016
Host functional and phylogenetic composition rather than host diversity structure plant-herbivore networks,MOLECULAR ECOLOGY,31,2020
A classification based approach for root unknown phylogenetic networks under constrained recombination,"DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGY, PROCEEDINGS",0,2005
Mycorrhiza: genotype assignment using phylogenetic networks,BIOINFORMATICS,4,2020
Using Data-Display Networks for Exploratory Data Analysis in Phylogenetic Studies,MOLECULAR BIOLOGY AND EVOLUTION,46,2010
Improved prediction of critical residues for protein function based on network and phylogenetic analyses,BMC BIOINFORMATICS,79,2005
Algorithms for combining rooted triplets into a galled phylogenetic network,SIAM JOURNAL ON COMPUTING,48,2006
Comparing and displaying phylogenetic trees using edge union networks,CLADISTICS,2,2019
Detecting Network Communities: An Application to Phylogenetic Analysis,PLOS COMPUTATIONAL BIOLOGY,20,2011
Phylogenetic networks: Properties and relationship to trees and clusters,TRANSACTIONS ON COMPUTATIONAL SYSTEMS BIOLOGY II,6,2005
Lpnet: Reconstructing phylogenetic networks from distances using integer linear programming,METHODS IN ECOLOGY AND EVOLUTION,1,2023
S-Cluster plus plus : a fast program for solving the cluster containment problem for phylogenetic networks,BIOINFORMATICS,5,2018
Annual precipitation predicts the phylogenetic signal in bat-fruit interaction networks across the Neotropics,BIOLOGY LETTERS,6,2021
Invariants for level-1 phylogenetic networks under the Cavendar-Farris-Neyman model,ADVANCES IN APPLIED MATHEMATICS,1,2024
A First Step Toward Computing All Hybridization Networks For Two Rooted Binary Phylogenetic Trees,JOURNAL OF COMPUTATIONAL BIOLOGY,4,2012
Computing all hybridization networks for multiple binary phylogenetic input trees,BMC BIOINFORMATICS,9,2015
Exactly Computing the Parsimony Scores on Phylogenetic Networks Using Dynamic Programming,JOURNAL OF COMPUTATIONAL BIOLOGY,6,2014
Two novel closure rules for constructing phylogenetic super-networks,BULLETIN OF MATHEMATICAL BIOLOGY,3,2008
Inferring phylogenetic networks by the maximum parsimony criterion: A case study,MOLECULAR BIOLOGY AND EVOLUTION,72,2007
Do Branch Lengths Help to Locate a Tree in a Phylogenetic Network?,BULLETIN OF MATHEMATICAL BIOLOGY,8,2016
Applicability of several rooted phylogenetic network algorithms for representing the evolutionary history of SARS-CoV-2,BMC ECOLOGY AND EVOLUTION,1,2021
Assembly rules for protein networks derived from phylogenetic-statistical analysis of whole genomes,BMC EVOLUTIONARY BIOLOGY,14,2007
Embedding gene trees into phylogenetic networks by conflict resolution algorithms,ALGORITHMS FOR MOLECULAR BIOLOGY,2,2022
"T-REX: a web server for inferring, validating and visualizing phylogenetic trees and networks",NUCLEIC ACIDS RESEARCH,407,2012
On the challenge of reconstructing level-1 phylogenetic networks from triplets and clusters,JOURNAL OF MATHEMATICAL BIOLOGY,8,2017
Inferring Phylogenetic Networks from Gene Order Data,BIOMED RESEARCH INTERNATIONAL,6,2013
Networks in phylogenetic analysis: new tools for population biology,INTERNATIONAL JOURNAL FOR PARASITOLOGY,131,2005
"New taxonomic framework for Arthrodermataceae: a comprehensive analysis based on their phylogenetic reconstruction, divergence time estimation, phylogenetic split network, and phylogeography",ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,5,2022
Phylogenetic structure of specialization: A new approach that integrates partner availability and phylogenetic diversity to quantify biotic specialization in ecological networks,ECOLOGY AND EVOLUTION,5,2022
Linear Programming Model to Construct Phylogenetic Network for 16S Rrna Sequences Of Photosynthetic Organisms and Influenza Viruses,INTERDISCIPLINARY SCIENCES-COMPUTATIONAL LIFE SCIENCES,0,2014
A branching process approach to level-k phylogenetic networks,RANDOM STRUCTURES & ALGORITHMS,5,2022
Temporal phylogenetic networks and logic programming,THEORY AND PRACTICE OF LOGIC PROGRAMMING,17,2006
WEIGHTED NETWORK ANALYSIS OF OUT-GROUP CANDIDATES IN A PHYLOGENETIC TREE OF B. BASSIANA,FRESENIUS ENVIRONMENTAL BULLETIN,0,2017
Brownian model of transcriptome evolution and phylogenetic network visualization between tissues,MOLECULAR PHYLOGENETICS AND EVOLUTION,3,2017
Inferring Phylogenetic Network of Malware Families Based on Splits Graph,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,3,2017
Construction of phylogenetic trees by kernel-based comparative analysis of metabolic networks,BMC BIOINFORMATICS,30,2006
Phylogenetic distances are encoded in networks of interacting pathways,BIOINFORMATICS,46,2008
Distinct-Cluster Tree-Child Phylogenetic Networks and Possible Uses to Study Polyploidy,BULLETIN OF MATHEMATICAL BIOLOGY,0,2022
Phylogenetic Signal in Module Composition and Species Connectivity in Compartmentalized Host-Parasite Networks,AMERICAN NATURALIST,112,2012
"Advances, challenges and opportunities of phylogenetic and social network analysis using COVID-19 data",BRIEFINGS IN BIOINFORMATICS,1,2022
Inferring a level-1 phylogenetic network from a dense set of rooted triplets,"COMPUTING AND COMBINATORICS, PROCEEDINGS",4,2004
NeighborNet: An agglomerative method for the construction of planar phylogenetic networks,"ALGORITHMS IN BIOINFORMATICS, PROCEEDINGS",126,2002
Which Phylogenetic Networks are Merely Trees with Additional Arcs?,SYSTEMATIC BIOLOGY,76,2015
Inferring a level-1 phylogenetic network from a dense set of rooted triplets,THEORETICAL COMPUTER SCIENCE,48,2006
A fundamental decomposition theory for phylogenetic networks and incompatible characters,"RESEARCH IN COMPUTATIONAL MOLECULAR BIOLOGY, PROCEEDINGS",50,2005
An Algorithm for Constructing Parsimonious Hybridization Networks with Multiple Phylogenetic Trees,JOURNAL OF COMPUTATIONAL BIOLOGY,16,2013
Parsimony Score of Phylogenetic Networks: Hardness Results and a Linear-Time Heuristic,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,22,2009
On Unrooted and Root-Uncertain Variants of Several Well-Known Phylogenetic Network Problems,ALGORITHMICA,11,2018
