Article Title,Source Title,"Times Cited, All Databases",Publication Year
Splits or waves? Trees or webs? How divergence measures and network analysis can unravel language histories,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,53,2010
Phylogenetic relationships of Brazilian isolates of Pythium insidiosum based on ITS rDNA and cytochrome oxidase II gene sequences,VETERINARY MICROBIOLOGY,27,2012
Biogeographical patterns and speciation of the genus Pinguicula (Lentibulariaceae) inferred by phylogenetic analyses,PLOS ONE,11,2021
"Effect of pollination strategy, phylogeny and distribution on pollination niches of Euro-Mediterranean orchids",JOURNAL OF ECOLOGY,40,2019
Evolutionary Analysis of Inter-Farm Transmission Dynamics in a Highly Pathogenic Avian Influenza Epidemic,PLOS PATHOGENS,50,2011
Discordance in a South African Memecylon Clade (Melastomataceae): Evidence for Reticulate Evolution,INTERNATIONAL JOURNAL OF PLANT SCIENCES,6,2021
Highly divergent ancient gene families in metagenomic samples are compatible with additional divisions of life,BIOLOGY DIRECT,12,2015
Assessing diversity of King Crab Lithodes spp. in the south-eastern pacific using phylogeny and molecular species delimitation methods,ECOLOGY AND EVOLUTION,1,2022
Identification of functional modules from conserved ancestral protein-protein interactions,BIOINFORMATICS,77,2007
Multigenic phylogeny and analysis of tree incongruences in Triticeae (Poaceae),BMC EVOLUTIONARY BIOLOGY,63,2011
Genome composition and phylogeny of microbes predict their co-occurrence in the environment,PLOS COMPUTATIONAL BIOLOGY,42,2017
"Late Neogene history of the laurel tree (Laurus L., Lauraceae) based on phylogeographical analyses of Mediterranean and Macaronesian populations",JOURNAL OF BIOGEOGRAPHY,106,2009
Analysis of the Driving Factors of Active and Rapid Growth Clusters Among CRF07_BC-Infected Patients in a Developed Area in Eastern China,OPEN FORUM INFECTIOUS DISEASES,6,2021
Modification of the genome topology network and its application to the comparison of group B Streptococcus genomes,BMC GENOMICS,0,2019
Foundations for conservation of intraspecific genetic diversity revealed by analysis of phylogeographical structure in the endangered endemic lizard Podarcis lilfordi,DIVERSITY AND DISTRIBUTIONS,34,2009
Taxonomy and biogeography of Bunopus spatalurus (Reptilia; Gekkonidae) from the Arabian Peninsula,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,25,2016
EMBER: multi-label prediction of kinase-substrate phosphorylation events through deep learning,BIOINFORMATICS,9,2022
Longitudinal Trends in Western Australian HIV-1 Sequence Diversity and Viral Transmission Networks and Their Influence on Clinical Parameters: 2000-2014,AIDS RESEARCH AND HUMAN RETROVIRUSES,5,2016
"Phylogeographic patterns, genetic affinities and morphological differentiation between Epipactis helleborine and related lineages in a Mediterranean glacial refugium",ANNALS OF BOTANY,36,2011
Horizontal gene transfer drives the evolution of Rh50 permeases in prokaryotes,BMC EVOLUTIONARY BIOLOGY,12,2017
On opportunities and threats to conserve the phylogenetic diversity of Neotropical palms,DIVERSITY AND DISTRIBUTIONS,23,2021
"Lipid analysis of Eimeria sporozoites reveals exclusive phospholipids, a phylogenetic mosaic of endogenous synthesis, and a host-independent lifestyle",CELL DISCOVERY,18,2018
Incorporating allelic variation for reconstructing the evolutionary history of organisms from multiple genes:: An example from Rosa in north America,SYSTEMATIC BIOLOGY,159,2006
Phylogenetic relationships of closely-related phlebotomine sand flies (Diptera: Psychodidae) of Nyssomyia genus and Lutzomyia subgenus,MEMORIAS DO INSTITUTO OSWALDO CRUZ,2,2020
"Factors influencing bacterial microbiome composition in a wild non-human primate community in Tai National Park, Cote d'Ivoire",ISME JOURNAL,28,2018
"SmCL3, a Gastrodermal Cysteine Protease of the Human Blood Fluke Schistosoma mansoni",PLOS NEGLECTED TROPICAL DISEASES,47,2009
Functional Basis of Microorganism Classification,PLOS COMPUTATIONAL BIOLOGY,26,2015
Are different facets of plant diversity well protected against climate and land cover changes? A test study in the French Alps,ECOGRAPHY,49,2014
Application of a taxon priority system for conservation planning by selecting areas which are most distinct from environments already reserved,BIOLOGICAL CONSERVATION,26,1996
High intervality explained by phylogenetic constraints in host-parasite webs,ECOLOGY,28,2008
cpnDB: A chaperonin sequence database,GENOME RESEARCH,191,2004
Retrotransposition of Alu elements:: how many sources?,TRENDS IN GENETICS,103,2004
Gene similarity networks provide tools for understanding eukaryote origins and evolution,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,51,2013
"Inferring Species Networks from Gene Trees in High-Polyploid North American and Hawaiian Violets (Viola, Violaceae)",SYSTEMATIC BIOLOGY,106,2012
Comparative foliar metabolomics of a tropical and a temperate forest community,ECOLOGY,40,2018
miRNAs: Small Genes with Big Potential in Metazoan Phylogenetics,MOLECULAR BIOLOGY AND EVOLUTION,98,2013
Microbial genotype-phenotype mapping by class association rule mining,BIOINFORMATICS,41,2008
A Novel Lineage of 'Naked Filose Amoebae'; Kraken carinae gen. nov sp nov (Cercozoa) with a Remarkable Locomotion by Disassembly of its Cell Body,PROTIST,18,2016
"Aspicilia berntii, a new name for a poorly known species",LICHENOLOGIST,9,2008
Path lengths in tree-child time consistent hybridization networks,INFORMATION SCIENCES,5,2010
Asymmetric Cluster-Based Measures for Comparative Phylogenetics,JOURNAL OF COMPUTATIONAL BIOLOGY,0,2024
Extracellular chloride signals collagen IV network assembly during basement membrane formation,JOURNAL OF CELL BIOLOGY,55,2016
Targeted recovery of novel phylogenetic diversity from next-generation sequence data,ISME JOURNAL,49,2012
"Genetic diversity, phylogenetic and phylogeographic analyses of Oncideres impluviata (Germar, 1823) (Coleoptera: Cerambycidae) in Rio Grande do Sul state, Brazil",REVISTA BRASILEIRA DE ENTOMOLOGIA,0,2023
GEOGRAPHIC AND TEMPORAL ASPECTS OF MITOCHONDRIAL REPLACEMENT IN NOTHONOTUS DARTERS (TELEOSTEI: PERCIDAE: ETHEOSTOMATINAE).,EVOLUTION,58,2010
Phylogenetic affinity of arbuscular mycorrhizal symbionts in Psilotum nudum,JOURNAL OF PLANT RESEARCH,33,2009
Model-based and phylogenetically adjusted quantification of metabolic interaction between microbial species,PLOS COMPUTATIONAL BIOLOGY,9,2020
Phylotranscriptomics supports numerous polyploidization events and phylogenetic relationships in Nicotiana,FRONTIERS IN PLANT SCIENCE,0,2023
PHYLOGENETIC CONSIDERATIONS BELOW THE SECTIONAL LEVEL IN CAREX,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,19,1990
"Monographic treatment of Paraholosticha muscicola (Ciliophora, Keronopsidae), including morphological and molecular biological characterization of a brackish water population from Korea",EUROPEAN JOURNAL OF PROTISTOLOGY,30,2019
"Identifying source populations for the reintroduction of the Eurasian beaver, Castor fiber L. 1758, into Britain: evidence from ancient DNA",SCIENTIFIC REPORTS,15,2018
Revisiting the drivers of acoustic similarities in tropical anuran assemblages,ECOLOGY,14,2021
Untangling the Tangled Bank: A Novel Method for Partitioning the Effects of Phylogenies and Traits on Ecological Networks,EVOLUTIONARY BIOLOGY,22,2017
Improving protein-protein interaction prediction based on phylogenetic information using a least-squares support vector machine,REVERSE ENGINEERING BIOLOGICAL NETWORKS: OPPORTUNITIES AND CHALLENGES IN COMPUTATIONAL METHODS FOR PATHWAY INFERENCE,13,2007
An evo-devo perspective on no Ordovician land plants,ESTONIAN JOURNAL OF EARTH SCIENCES,0,2023
Cradles and museums of generic plant diversity across tropical Africa,NEW PHYTOLOGIST,78,2020
Grasshopper assemblage response to conservation ecological networks in a timber plantation matrix,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,8,2011
Computing the hybridization number of two phylogenetic trees is fixed-parameter tractable,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,50,2007
"New material of Mongolemys elegans Khosatzky and Mlynarski, 1971 (Testudines: Lindholmemydidae), from the Late Cretaceous of Mongolia with comments on bone histology and phylogeny",AMERICAN MUSEUM NOVITATES,10,2013
Convergent evolution in Ophrys kotschyi (Orchidaceae) revisited: a study using nrITS and cpIGS sequences,ANNALES BOTANICI FENNICI,4,2011
Compact mixed integer linear programming models to the minimum weighted tree reconstruction problem,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,11,2017
"Candidate-species delimitation in Desmognathus salamanders reveals gene flow across lineage boundaries, confounding phylogenetic estimation and clarifying hybrid zones",ECOLOGY AND EVOLUTION,25,2022
Genetic Diversity of Grapevine virus A in Washington and California Vineyards,PHYTOPATHOLOGY,32,2014
Fishing for minimum evolution trees with Neighbor-Nets,INFORMATION PROCESSING LETTERS,2,2014
Bioinformatic analysis of a novel Echinococcus granulosus nuclear receptor with two DNA binding domains,PLOS ONE,5,2019
