Article Title,Source Title,"Times Cited, All Databases",Publication Year
Functional and phylogenetic analyses of camel rumen microbiota associated with different lignocellulosic substrates,NPJ BIOFILMS AND MICROBIOMES,15,2022
Evolutionary Pathways and Trajectories in Antibiotic Resistance,CLINICAL MICROBIOLOGY REVIEWS,70,2021
Genome-Wide Analysis of Somatic Embryogenesis-Related Transcription Factors in Cultivated Strawberry (Fragaria x ananassa) and Evolutionary Relationships among Rosaceae Species,AGRONOMY-BASEL,1,2021
Reproductive strategies of animal-pollinated plants on high mountains: A review of studies from the Third Pole,JOURNAL OF SYSTEMATICS AND EVOLUTION,11,2021
APOCYNACEAE OF YESTERDAY AND TODAY. HISTORICAL KNOWLEDGE AND REEVALUATION OF THE DIVERSITY AND DISTRIBUTION OF APOCYNACEAE IN MEXICO,BOTANICAL SCIENCES,31,2020
Exploring microRNA profiles for circadian clock and flowering development regulation in Himalayan Rhododendron,GENOMICS,7,2019
Butterfly Mimicry Polymorphisms Highlight Phylogenetic Limits of Gene Reuse in the Evolution of Diverse Adaptations,MOLECULAR BIOLOGY AND EVOLUTION,22,2019
Ecology and Feeding Habits Drive Infection of Water Bugs with Mycobacterium ulcerans,ECOHEALTH,7,2017
The H-bond network surrounding the pyranopterins modulates redox cooperativity in the molybdenum-bisPGD cofactor in arsenite oxidase,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,19,2016
"Origin and Expansion of the Yunnan Shoot Borer, Tomicus yunnanensis (Coleoptera: Scolytinae): A Mixture of Historical Natural Expansion and Contemporary Human-Mediated Relocation",PLOS ONE,9,2014
Change of integrons over time in Escherichia coli isolates recovered from healthy pigs and chickens,VETERINARY MICROBIOLOGY,41,2013
Genetic diversity of two Tibetan macaque (Macaca thibetana) populations from Guizhou and Yunnan in China based on mitochondrial DNA D-loop sequences,GENES & GENOMICS,11,2013
Expression of the central growth regulator BIG BROTHER is regulated by multiple cis-elements,BMC PLANT BIOLOGY,9,2012
Evolutionary foundations of human prosocial sentiments,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,152,2011
Possible sources and spreading routes of highly pathogenic avian influenza virus subtype H5N1 infections in poultry and wild birds in Central Europe in 2007 inferred through likelihood analyses,INFECTION GENETICS AND EVOLUTION,15,2010
"Genetic differentiation and hybridization between greater and lesser spotted eagles (Accipitriformes:Aquila clanga, A-pomarina)",JOURNAL OF ORNITHOLOGY,42,2005
What is bioinformatics? A proposed definition and overview of the field,METHODS OF INFORMATION IN MEDICINE,252,2001
Exploring cross-species genetic diversity: unveiling new insights in Megalobrama through whole genome-wide simple sequence repeats,CONSERVATION GENETICS,0,2024
"A new pachycephalosaurid from the Hell Creek Formation, Garfield County, Montana, USA",JOURNAL OF VERTEBRATE PALEONTOLOGY,0,2022
Early stages of speciation with gene flow in the Amazilia Hummingbird (Amazilis amazilia) subspecies complex of Western South America,ECOLOGY AND EVOLUTION,0,2022
Adaptation of plasticity to projected maximum temperatures and across climatically defined bioregions,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,37,2020
Biogeography and Distribution of the Cryptic Species Rosyface Shiner Notropis rubellus and Carmine Shiner Notropis percobromus in Illinois,COPEIA,2,2018
Monocular Advantage for Face Perception Implicates Subcortical Mechanisms in Adult Humans,JOURNAL OF COGNITIVE NEUROSCIENCE,27,2014
"Genome-wide identification, comprehensive characterization of transcription factors, cis-regulatory elements, protein homology, and protein interaction network of DREB gene family in Solanum lycopersicum",FRONTIERS IN PLANT SCIENCE,5,2022
Genetic diversity and differentiation analysis reveals geographical structure characteristics of Dermatophagoides farinae (Acari: Pyroglyphidae),EXPERIMENTAL AND APPLIED ACAROLOGY,0,2024
Molecular characterization of Haemoproteus enucleator with emphasis on the host and geographic distribution,ACTA TROPICA,0,2024
Genome-Wide Identification of R2R3-MYB Transcription Factor and Expression Analysis under Abiotic Stress in Rice,PLANTS-BASEL,13,2022
Exploring the universal healthy human gut microbiota around the World,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,16,2022
First Evidence of Cryptic Species Diversity and Population Structuring of Selaroides leptolepis in the Tropical Western Pacific,FRONTIERS IN MARINE SCIENCE,6,2021
Genome-Wide Characterization and Analysis of bHLH Transcription Factors Related to Anthocyanin Biosynthesis in Fig (Ficus carica L.),FRONTIERS IN PLANT SCIENCE,26,2021
Genome wide identification and expression analysis of pepper C2H2 zinc finger transcription factors in response to anthracnose pathogen Colletotrichum truncatum,3 BIOTECH,10,2021
A Lineage-Specific Paralog of Oma1 Evolved into a Gene Family from Which a Suppressor of Male Sterility-Inducing Mitochondria Emerged in Plants,GENOME BIOLOGY AND EVOLUTION,3,2020
R2R3-MYB transcription factor PpMYB17 positively regulates flavonoid biosynthesis in pear fruit,PLANTA,47,2020
"Serogroup C Neisseria meningitidis disease epidemiology, seroprevalence, vaccine effectiveness and waning immunity, England, 1998/99 to 2015/16",EUROSURVEILLANCE,16,2019
LITTLELEAF (LL) encodes a WD40 repeat domain-containing protein associated with organ size variation in cucumber,PLANT JOURNAL,51,2018
Evolutionary history of spiny-tailed lizards (Agamidae: Uromastyx) from the Saharo-Arabian region,ZOOLOGICA SCRIPTA,29,2018
"A late Pleistocene marine glacial refugium in the south-west of Hainan Island, China: Phylogeographical insights from the brown alga Sargassum polycystum",JOURNAL OF BIOGEOGRAPHY,15,2018
Canine distemper virus in the Serengeti ecosystem: molecular adaptation to different carnivore species,MOLECULAR ECOLOGY,53,2017
Prokaryotes in Subsoil-Evidence for a Strong Spatial Separation of Different Phyla by Analysing Co-occurrence Networks,FRONTIERS IN MICROBIOLOGY,41,2015
Tangential migratory pathways of subpallial origin in the embryonic telencephalon of sharks: evolutionary implications,BRAIN STRUCTURE & FUNCTION,20,2015
The evolution of the neural crest: new perspectives from lamprey and invertebrate neural crest-like cells,WILEY INTERDISCIPLINARY REVIEWS-DEVELOPMENTAL BIOLOGY,29,2013
Combined use of network inference tools identifies ecologically meaningful bacterial associations in a paddy soil,SOIL BIOLOGY & BIOCHEMISTRY,61,2017
Differentiated genomic footprints suggest isolation and long-distance migration of Hmong-Mien populations,BMC BIOLOGY,0,2024
Phylogenomics AND biogeography of Castanea (chestnut) and Hamamelis (witch-hazel) - Choosing between RAD-seq and Hyb-Seq approaches,MOLECULAR PHYLOGENETICS AND EVOLUTION,5,2022
Genome-wide identification and analyses of the AHL gene family in rice (Oryza sativa),3 BIOTECH,1,2023
"Ongoing HIV transmission following a large outbreak among people who inject drugs in Athens, Greece (2014-20)",ADDICTION,6,2022
"National Prevalence of Salmonella enterica Serotype Kentucky ST198 with High-Level Resistance to Ciprofloxacin and Extended-Spectrum Cephalosporins in China, 2013 to 2017",MSYSTEMS,18,2021
Genetic differentiation of Plasmodium vivax duffy binding protein in Ethiopia and comparison with other geographical isolates,MALARIA JOURNAL,0,2024
Phylogeography and morphometric variation in the Cinnamon Hummingbird complex: Amazilia rutila (Aves: Trochilidae),AVIAN RESEARCH,3,2021
Methanogenesis in biogas reactors under inhibitory ammonia concentration requires community-wide tolerance,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,0,2023
"Structural Diversity, LC-MS-MS Analysis and Potential Biological Activities of Brevibacillus laterosporus Extract",METABOLITES,5,2022
"Genomic epidemiology reveals multiple introductions of SARS-CoV-2 followed by community and nosocomial spread, Germany, February to May 2020",EUROSURVEILLANCE,9,2021
"Identification, molecular evolution, and expression analysis of the transcription factor Smad gene family in lamprey",MOLECULAR IMMUNOLOGY,5,2021
Analysis of Indian SARS-CoV-2 Genomes Reveals Prevalence of D614G Mutation in Spike Protein Predicting an Increase in Interaction With TMPRSS2 and Virus Infectivity,FRONTIERS IN MICROBIOLOGY,39,2020
Comprehensive analysis of the Gossypium hirsutum L. respiratory burst oxidase homolog (Ghrboh) gene family,BMC GENOMICS,22,2020
Mitochondrial introgression obscures phylogenetic relationships among manakins of the genus Lepidothrix (Aves: Pipridae),MOLECULAR PHYLOGENETICS AND EVOLUTION,22,2018
Three-dimensional structure model and predicted ATP interaction rewiring of a deviant RNA ligase 2,BMC STRUCTURAL BIOLOGY,4,2015
"Circumpolar dataset of sequenced specimens of Promachocrinus kerguelensis (Echinodermata, Crinoidea)",ZOOKEYS,2,2013
Sephardic signature in haplogroup T mitochondrial DNA,EUROPEAN JOURNAL OF HUMAN GENETICS,9,2012
Arpc2 integrates ecdysone and juvenile hormone metabolism to influence metamorphosis and reproduction in Tribolium castaneum,PEST MANAGEMENT SCIENCE,0,2024
Genome-wide identification and functional characterization of inhibitor of nuclear factor-ΚB (IΚB) kinase (IKK) in turbot (Scophthalmus maximus),FISH & SHELLFISH IMMUNOLOGY,0,2023
Structural and functional analysis of a tandem repeat galacturonic acid-binding lectin from the sea hare Aplysia californica,FISH & SHELLFISH IMMUNOLOGY,0,2023
The Calcium Sensor Calcineurin B-Like Proteins -Calcineurin B-Like Interacting Protein Kinases Is Involved in Leaf Development and Stress Responses Related to Latex Flow in Hevea brasiliensis,FRONTIERS IN PLANT SCIENCE,3,2022
"Genome-wide identification, phylogeny and expression analysis of the SPL gene family in wheat",BMC PLANT BIOLOGY,41,2020
"A Multigene analysis of Corallomyxa tenera sp nov suggests its membership in a clade that includes Gromia, Haplosporidia and Foraminifera",PROTIST,27,2007
RNA editing in the free-living bodonid Bodo saltans,NUCLEIC ACIDS RESEARCH,56,1998
Expanding the phylogeography and connectivity of Perkinsus species across North and Central America,DIVERSITY AND DISTRIBUTIONS,0,2024
Spatio-Temporal Variation of Synechococcus Assemblages at DNA and cDNA Levels in the Tropical Estuarine and Coastal Waters,FRONTIERS IN MICROBIOLOGY,4,2022
"A genome-wide survey of NOD-like receptors in Chinese tongue sole (Cynoglossus semilaevis): Identification, characterization and expression analysis in response to bacterial infection",JOURNAL OF FISH BIOLOGY,5,2021
"Glycosyltransferase GT1 family: Phylogenetic distribution, substrates coverage, and representative structural features",COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,60,2020
Post-glacial East Asian origin of the alpine shrub Phyllodoce aleutica (Ericaceae) in Beringia,JOURNAL OF BIOGEOGRAPHY,12,2018
Diversity of North American map and sawback turtles (Testudines: Emydidae: Graptemys),ZOOLOGICA SCRIPTA,23,2017
De novo characterization of microRNAs in oriental fruit moth Grapholita molesta and selection of reference genes for normalization of microRNA expression,PLOS ONE,21,2017
Evolution and Distribution of Teleost myomiRNAs: Functionally Diversified myomiRs in Teleosts,MARINE BIOTECHNOLOGY,8,2016
Electricity producing property and bacterial community structure in microbial fuel cell equipped with membrane electrode assembly,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,23,2013
New data on Reticulitermes urbis and Reticulitermes lucifugus in Italy: are they both native species?,BULLETIN OF INSECTOLOGY,7,2012
Phylogenetic Community Context Influences Pollen Delivery to Allium cernuum,EVOLUTIONARY BIOLOGY,20,2010
A molecular phylogeny of mosquitoes in the Anopheles barbirostris Subgroup reveals cryptic species: Implications for identification of disease vectors,MOLECULAR PHYLOGENETICS AND EVOLUTION,67,2009
Genome-Wide Analysis of the KLF Gene Family in Chicken: Characterization and Expression Profile,ANIMALS,0,2023
Ongoing global and regional adaptive evolution of SARS-CoV-2,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,142,2021
Multiple Alu Exonization in 3′UTR of a Primate-Specific Isoform of CYP20A1 Creates a Potential miRNA Sponge,GENOME BIOLOGY AND EVOLUTION,7,2021
Myriophyllum aquaticum Constructed Wetland Effectively Removes Nitrogen in Swine Wastewater,FRONTIERS IN MICROBIOLOGY,42,2017
"Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest",PLOS ONE,15,2017
Biotic interactions and macroevolution: Extensions and mismatches across scales and levels,EVOLUTION,223,2008
Genome-Wide Identification and Expression Analysis of SPX Domain-Containing Gene Subfamily in Response to Phosphorus-Solubilizing Bacteria in Apple (Malus domestica),PLANT MOLECULAR BIOLOGY REPORTER,0,2024
Pollution levels and potential ecological risks of trace elements in relation to bacterial community in surface water of shallow lakes in northern China before and after ecological water replenishment,JOURNAL OF CONTAMINANT HYDROLOGY,1,2024
Genome-Wide Identification and Expression Analysis of Cysteine-Rich Polycomb-like Protein (CPP) Gene Family in Tomato,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0,2023
Genome-Wide Identification and Expression Profiling of the SRS Gene Family in Melilotus albus Reveals Functions in Various Stress Conditions,PLANTS-BASEL,5,2022
Molecular and Functional Analysis of U-box E3 Ubiquitin Ligase Gene Family in Rice (Oryza sativa),INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,12,2021
Magic roundabout is an endothelial-specific ohnolog of ROBO1 which neo-functionalized to an essential new role in angiogenesis,PLOS ONE,6,2019
Repeated secondary loss of adaptin complex genes in the Apicomplexa,PARASITOLOGY INTERNATIONAL,34,2009
Microbial metabolic structure in a sulfidic cave hot spring: Potential mechanisms of biospeleogenesis,JOURNAL OF CAVE AND KARST STUDIES,41,2005
Genome-wide analysis of the CDPK gene family and their important roles response to cold stress in white clover,PLANT SIGNALING & BEHAVIOR,2,2023
Delineating reef fish trophic guilds with global gut content data synthesis and phylogeny,PLOS BIOLOGY,39,2020
Genomic epizootiology of a Brucella abortus outbreak in Northern Ireland (1997-2012),INFECTION GENETICS AND EVOLUTION,8,2020
"Free to Circulate: An Update on the Epidemiological Dynamics of Porcine Circovirus 2 (PCV-2) in Italy Reveals the Role of Local Spreading, Wild Populations, and Foreign Countries",PATHOGENS,20,2020
"Phenotypic plasticity and morphological adaptation of Halimeda opuntia (Bryopsidales, Chlorophyta) to light intensity",PHYCOLOGICAL RESEARCH,5,2020
Iterative allogamy-autogamy transitions drive actual and incipient speciation during the ongoing evolutionary radiation within the orchid genus Epipactis (Orchidaceae),ANNALS OF BOTANY,33,2019
What factors explain the geographical range of mammalian parasites?,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,15,2019
Evidence for a recombinant origin of HIV-1 Group M from genomic variation,VIRUS EVOLUTION,5,2019
Longitudinal variation of microbial communities in benthic biofilms and association with hydrological and physicochemical conditions in glacier-fed streams,FRESHWATER SCIENCE,23,2017
Circulation of multiple patterns of unique recombinant forms B/CRF02_AG in France: precursor signs of the emergence of an upcoming CRF B/02,AIDS,18,2011
"Phylogeography in a galling insect, grape phylloxera, Daktulosphaira vitifoliae (Phylloxeridae) in the fragmented habitat of the Southwest USA",JOURNAL OF BIOGEOGRAPHY,32,2004
Molecular diversity and biogeography of symbiotic algae in dominant scleractinian corals around Hainan Island,REGIONAL STUDIES IN MARINE SCIENCE,0,2024
Inferring the lifestyles of extinct Crocodyliformes using osteoderm ornamentation,SCIENCE OF NATURE,0,2023
Molecular survey of Cryptoplax japonica (Polyplacophora: Cryptoplacidae) reveals cryptic lineages in the northwestern Pacific,JOURNAL OF MOLLUSCAN STUDIES,0,2022
Phylogenetic relationships and genetic variations among cinereous vultures Aegypius monachus in South Korea,AVIAN BIOLOGY RESEARCH,1,2022
"Phylogeographic Structure of Freshwater Tor sp. in River Basins of Sabah, Malaysia",FISHES,0,2021
Genome-Wide Identification and Characterization of Yellow Horn (Xanthoceras sorbifolia Bunge) NAC Transcription Factor Gene Family against Diverse Abiotic Stresses,RUSSIAN JOURNAL OF GENETICS,3,2021
Empirical evidence for concerted evolution in the 18S rDNA region of the planktonic diatom genus Chaetoceros,SCIENTIFIC REPORTS,7,2021
Invader-resident community similarity contribute to the invasion process and regulate biofertilizer effectiveness,JOURNAL OF CLEANER PRODUCTION,22,2019
Species diversity in the marine microturbellarian Astrotorhynchus bifidus sensu lato (Platyhelminthes: Rhabdocoela) from the Northeast Pacific Ocean,MOLECULAR PHYLOGENETICS AND EVOLUTION,17,2018
Haplotype Affinities Resolve a Major Component of Goat (Capra hircus) MtDNA D-Loop Diversity and Reveal Specific Features of the Sardinian Stock,PLOS ONE,18,2012
Complete separation along matrilines in a social spider metapopulation inferred from hypervariable mitochondrial DNA region,MOLECULAR ECOLOGY,24,2010
Development and Evaluation of an ompA Quantitative Real-Time PCR Assay for Chlamydia trachomatis Serovar Determination,JOURNAL OF CLINICAL MICROBIOLOGY,49,2010
"Influenza A Virus in Taiwan, 1980-2006: Phylogenetic and Antigenic Characteristics of the Hemagglutinin Gene",JOURNAL OF MEDICAL VIROLOGY,22,2009
Identification and Expression Analyses of Invertase Genes in Moso Bamboo Reveal Their Potential Drought Stress Functions,FRONTIERS IN GENETICS,5,2021
Epigenetic Regulation and Environmental Sex Determination in Cichlid Fishes,SEXUAL DEVELOPMENT,9,2021
"Culture-Independent Genotyping Revealed 3 Strain Clusters in a Potential Neisseria gonorrhoeae Outbreak in Young Heterosexuals (<25 Years), the Netherlands, October 2017 to March 2019",SEXUALLY TRANSMITTED DISEASES,0,2021
Amphidromous but endemic: Population connectivity of Rhinogobius gigas (Teleostei: Gobioidei),PLOS ONE,8,2021
"Molecular cloning of insulin-like growth factor 3 (igf3) and its expression in the tissues of a female damselfish, Chrysiptera cyanea, in relation to seasonal and food-manipulated reproduction",GENERAL AND COMPARATIVE ENDOCRINOLOGY,9,2020
Faecalibacterium diversity in dairy cow milk,PLOS ONE,8,2019
Gene Pool of the Novgorod Population: Between the North and the South,RUSSIAN JOURNAL OF GENETICS,2,2017
Unequal evolutionary rates in the human immunodeficiency virus type I (HIV-1) pandemic: The evolutionary rate of HIV-1 slows down when the epidemic rate increases,JOURNAL OF VIROLOGY,81,2007
Metagenomic Screening for Lipolytic Genes Reveals an Ecology-Clustered Distribution Pattern,FRONTIERS IN MICROBIOLOGY,1,2022
Deciphering mono/multivalent draw solute-induced microbial ecology and membrane fouling in anaerobic osmotic membrane bioreactor,WATER RESEARCH,27,2022
Bacterial assembly and succession in the start-up phase of an IFAS metacommunity: The role of AHL-driven quorum sensing,SCIENCE OF THE TOTAL ENVIRONMENT,16,2021
Reticulate evolutionary history of a Western Palaearctic Bat Complex explained by multiple mtDNA introgressions in secondary contacts,JOURNAL OF BIOGEOGRAPHY,29,2019
Evolutionary significance of long-distance dispersal and hybridisation in the New Zealand endemic genus Hoheria (Malvaceae),AUSTRALIAN SYSTEMATIC BOTANY,9,2010
"Phylogeographic structure of false clownfish, Amphiprion ocellaris, explained by sea level changes on the Sunda shelf",MARINE BIOLOGY,73,2000
mtDNA and the origin of the Icelanders:: Deciphering signals of recent population history,AMERICAN JOURNAL OF HUMAN GENETICS,175,2000
Identification and Expression Analysis of Calcium-Dependent Protein Kinases Gene Family in Potato Under Drought Stress,FRONTIERS IN GENETICS,7,2022
Application of Combined Genomic and Transfer Analyses to Identify Factors Mediating Regional Spread of Antibiotic-resistant Bacterial Lineages,CLINICAL INFECTIOUS DISEASES,7,2020
Genetic Diversity and Evolutionary Relationships of Chinese Pepper Based on nrDNA Markers,FORESTS,6,2020
"SoxB2 in sea urchin development: implications in neurogenesis, ciliogenesis and skeletal patterning",EVODEVO,14,2018
"A comparative phylogeographic study reveals discordant evolutionary histories of alpine ground beetles (Coleoptera, Carabidae)",ECOLOGY AND EVOLUTION,13,2016
"Systematic revision of Patelloida pygmaea (Gastropoda: Lottiidae), with a description of a new species",JOURNAL OF MOLLUSCAN STUDIES,39,2005
Climate-influenced boreotropical survival and rampant introgressions explain the thriving of New World grapes in the north temperate zone,JOURNAL OF INTEGRATIVE PLANT BIOLOGY,8,2023
Transmission patterns of a Mycobacterium avium subsp. paratuberculosis clone within a single heard investigated by Whole Genome Sequencing,VETERINARY MICROBIOLOGY,3,2021
Population Genetic Structure and Contribution of Philippine Chickens to the Pacific Chicken Diversity Inferred From Mitochondrial DNA,FRONTIERS IN GENETICS,7,2021
"Warming, but Not Acidification, Restructures Epibacterial Communities of the Baltic MacroalgaFucus vesiculosusWith Seasonal Variability",FRONTIERS IN MICROBIOLOGY,9,2020
Antimicrobial-Resistant Klebsiella pneumoniae Carriage and Infection in Specialized Geriatric Care Wards Linked to Acquisition in the Referring Hospital,CLINICAL INFECTIOUS DISEASES,90,2018
Genetic diversity of Taenia saginata (Cestoda: Cyclophyllidea) from Lao People's Democratic Republic and northeastern Thailand based on mitochondrial DNA,PARASITES & VECTORS,13,2017
Predicting taxonomic and functional structure of microbial communities in acid mine drainage,ISME JOURNAL,105,2016
Reconstructed Ancestral Enzymes Impose a Fitness Cost upon Modern Bacteria Despite Exhibiting Favourable Biochemical Properties,JOURNAL OF MOLECULAR EVOLUTION,15,2015
Outbreaks of highly pathogenic avian influenza H5N1 clade 2.3.2.1c in hunting falcons and kept wild birds in Dubai implicate intercontinental virus spread,JOURNAL OF GENERAL VIROLOGY,31,2015
"Epidemiology of HIV-1 Subtypes Among Men Who Have Sex With Men in Cape Town, South Africa",JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,24,2014
"Computational identification of transcriptionally co-regulated genes, validation with the four ANT isoform genes",BMC GENOMICS,4,2012
Phylogeography and sympatric differentiation of the Arctic charr Salvelinus alpinus (L.) complex in Siberia as revealed by mtDNA sequence analysis,JOURNAL OF FISH BIOLOGY,57,2009
Population genetic structure of Chilo suppressalis (Walker) (Lepidoptera: Crambidae):: strong subdivision in China inferred from microsatellite markers and mtDNA gene sequences,MOLECULAR ECOLOGY,84,2008
Mammalian αI-spectrin is a neofunctionalized polypeptide adapted to small highly deformable erythrocytes,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,42,2006
Genome-wide identification and characterization of the kinesin gene family in upland cotton (Gossypium hirsutum L.),INDUSTRIAL CROPS AND PRODUCTS,0,2023
The microbial synergy and response mechanisms of hydrolysis-acidification combined microbial electrolysis cell system with stainless-steel cathode for textile-dyeing wastewater treatment,SCIENCE OF THE TOTAL ENVIRONMENT,4,2023
The mitogenomes of two saprophytic Boletales species (Coniophora) reveals intron dynamics and accumulation of plasmid-derived and non-conserved genes,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,21,2021
Global analysis of adenylate-forming enzymes reveals β-lactone biosynthesis pathway in pathogenic Nocardia,JOURNAL OF BIOLOGICAL CHEMISTRY,21,2020
The genus Zelentia is an amphi-boreal taxon expanded to include three new species from the North Pacific and Atlantic oceans (Gastropoda: Nudibranchia: Trinchesiidae),ZOOTAXA,15,2018
A biogeographical profile of the sand cockroach Arenivaga floridensis and its bearing on origin hypotheses for Florida scrub biota,ECOLOGY AND EVOLUTION,4,2018
The microRNA repertoire of Tibetan naked carp Gymnocypris przewalskii: A case study in Schizothoracinae fish on the Tibetan Plateau,PLOS ONE,14,2017
Population structure and phylogeography of Toda buffalo in Nilgiris throw light on possible origin of aboriginal Toda tribe of South India,JOURNAL OF ANIMAL BREEDING AND GENETICS,10,2011
Genome-Wide Identification and Evolution of the GRF Gene Family and Functional Characterization of PbGRF18 in Pear,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,1,2023
"Effects of Ocean Acidification, Hypoxia, and Warming on the Gut Microbiota of the Thick Shell Mussel Mytilus coruscus Through 16S rRNA Gene Sequencing",FRONTIERS IN MARINE SCIENCE,13,2021
Microbial communities in rare earth mining soil after in-situ leaching mining,SCIENCE OF THE TOTAL ENVIRONMENT,46,2021
A preliminary phylogenetic analysis of ribbed-pine-borer (Rhagium inquisitor) based on mitochondrial COI sequences,JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,5,2020
Assessment of snake DNA barcodes based on mitochondrial COI and Cytb genes revealed multiple putative cryptic species in Thailand,GENE,43,2016
"Supplementary studies on Myxobolus tsangwuensis Chen, 1954 (Myxozoa: Myxosporea) infecting the gills of common carp Cyprinus carpio (L.): molecular and histological data",ACTA PARASITOLOGICA,8,2014
Disentangling Direct from Indirect Co-Evolution of Residues in Protein Alignments,PLOS COMPUTATIONAL BIOLOGY,163,2010
