Article Title,Source Title,"Times Cited, All Databases",Publication Year
Molecular phylogeny and evolutionary history of the Eurasiatic orchid genus Himantoglossum s.l. (Orchidaceae),ANNALS OF BOTANY,46,2014
Ectomycorrhizal symbiosis of tropical African trees,MYCORRHIZA,54,2012
Deep intra-island divergence of a montane forest endemic: phylogeography of the Puerto Rican frog Eleutherodactylus portoricensis (Anura: Eleutherodactylidae),JOURNAL OF BIOGEOGRAPHY,17,2011
Sequence variation of PfEMP1-DBLα in association with rosette formation in Plasmodium falciparum isolates causing severe and uncomplicated malaria,MALARIA JOURNAL,24,2009
Species richness of bat flies and their associations with host bats in a subtropical East Asian region,PARASITES & VECTORS,7,2023
Three-Finger Toxin Diversification in the Venoms of Cat-Eye Snakes (Colubridae: Boiga),JOURNAL OF MOLECULAR EVOLUTION,15,2018
NSF Workshop Report: Discovering General Principles of Nervous System Organization by Comparing Brain Maps across Species,BRAIN BEHAVIOR AND EVOLUTION,35,2014
Unique features of HLA-mediated HIV evolution in a Mexican cohort: a comparative study,RETROVIROLOGY,27,2009
"E Pluribus Unum:: A phylogenetic and phylogeographic reassessment of Laevapex (Pulmonata: Ancylidae), a North American genus of freshwater limpets",MOLECULAR PHYLOGENETICS AND EVOLUTION,29,2006
Cloning and expression of the first nonmammalian interleukin-11 gene in rainbow trout Oncorhynchus mykiss,FEBS JOURNAL,98,2005
"Evidence of widespread endemic populations of highly multidrug resistant Klebsiella pneumoniae in hospital settings in Hanoi, Vietnam: a prospective cohort study",LANCET MICROBE,5,2023
Identification of ANS from Malus halliana reveal flavonoid metabolic pathway involved in response to saline-alkali stress,PLANT GROWTH REGULATION,2,2023
Diversity of Mitochondrial DNA Haplogroups and Their Association with Bovine Antral Follicle Count,ANIMALS,4,2022
Genome-wide identification and expression analysis of LBD transcription factor genes in Moso bamboo (Phyllostachys edulis),BMC PLANT BIOLOGY,22,2021
Bioprospecting of Soil-Derived Actinobacteria Along the Alar-Hotan Desert Highway in the Taklamakan Desert,FRONTIERS IN MICROBIOLOGY,13,2021
"Comparative genomic analysis of genogroup 1 and genogroup 2 rotaviruses circulating in seven US cities, 2014-2016",VIRUS EVOLUTION,9,2021
Influence of Origin Recognition Complex Proteins on the Copy Numbers of Three Chromosomes in Haloferax volcanii,JOURNAL OF BACTERIOLOGY,6,2018
The oxidative stress response of pathogenic Leptospira is controlled by two peroxide stress regulators which putatively cooperate in controlling virulence,PLOS PATHOGENS,5,2021
Hepatozoon (Eucoccidiorida: Hepatozoidae) in wild mammals of the Americas: a systematic review,PARASITES & VECTORS,1,2024
Human fascioliasis emergence in southern Asia: Complete nuclear rDNA spacer and mtDNA gene sequences prove Indian patient infection related to fluke hybridization in northeastern India and Bangladesh,ONE HEALTH,0,2024
"The role of plants in the formation of species-specific features in grass flies (Diptera, Chloropidae, Meromyza)",BIODIVERSITY DATA JOURNAL,0,2021
Genome-wide identification and characterisation of Aquaporins inNicotiana tabacumand their relationships with other Solanaceae species,BMC PLANT BIOLOGY,26,2020
"iVikodak-A Platform and Standard Workflow for Inferring, Analyzing, Comparing, and Visualizing the Functional Potential of Microbial Communities",FRONTIERS IN MICROBIOLOGY,53,2019
Structural and Functional Insights into WRKY3 and WRKY4 Transcription Factors to Unravel the WRKY-DNA (W-Box) Complex Interaction in Tomato (Solanum lycopersicum L.). A Computational Approach,FRONTIERS IN PLANT SCIENCE,32,2017
"Lack of population genetic structure and host specificity in the bat fly, Cyclopodia horsfieldi, across species of Pteropus bats in Southeast Asia",PARASITES & VECTORS,44,2013
Genetically diverse but with surprisingly little geographical structure: the complex history of the widespread herb Carex nigra (Cyperaceae),JOURNAL OF BIOGEOGRAPHY,52,2012
Evolutionary history of a cold-adapted limnephilid caddisfly: Effects of climate change and topography on genetic structure,MOLECULAR PHYLOGENETICS AND EVOLUTION,0,2024
Molecular Networking-Based Metabolome and Bioactivity Analyses of Marine-Adapted Fungi Co-cultivated With Phytopathogens,FRONTIERS IN MICROBIOLOGY,49,2018
"The evolution of BDNF is defined by strict purifying selection and prodomain spatial coevolution, but what does it mean for human brain disease?",TRANSLATIONAL PSYCHIATRY,3,2022
Isolation and expression pattern analysis of CmRNF5 and CmNPH3L potentially involved in graft compatibility in cucumber/pumpkin graft combinations,SCIENTIA HORTICULTURAE,15,2018
Parasites of parasites of bats: Laboulbeniales (Fungi: Ascomycota) on bat flies (Diptera: Nycteribiidae) in central Europe,PARASITES & VECTORS,35,2017
The loss-of-function GLABROUS 3 mutation in cucumber is due to LTR-retrotransposon insertion in a class IV HD-ZIP transcription factor gene CsGL3 that is epistatic over CsGL1,BMC PLANT BIOLOGY,87,2015
"Genome-wide identification and characterization of flowering genes in Citrus sinensis (L.) Osbeck: a comparison among C. Medica L., C. Reticulata Blanco, C. Grandis (L.) Osbeck and C. Clementina",BMC GENOMIC DATA,1,2024
"The 18S rRNA genes of Haemoproteus (Haemosporida, Apicomplexa) parasites from European songbirds with remarks on improved parasite diagnostics",MALARIA JOURNAL,2,2023
"Genetic Diversity and Insights about Distribution of Brown Howler Monkeys (Alouatta guariba Group) (Atelidae, Alouattinae)",INTERNATIONAL JOURNAL OF PRIMATOLOGY,2,2023
Mechanisms of dietary resource partitioning in large-herbivore assemblages: A plant-trait-based approach,JOURNAL OF ECOLOGY,19,2022
Adaptation and convergence in circadian-related genes in Iberian freshwater fish,BMC ECOLOGY AND EVOLUTION,4,2021
Comparative Performance of Popular Methods for Hybrid Detection using Genomic Data,SYSTEMATIC BIOLOGY,32,2021
Red deer in Iberia: Molecular ecological studies in a southern refugium and inferences on European postglacial colonization history,PLOS ONE,23,2019
Antibiotic Treatments for &ITClostridium difficile&IT Infection Are Associated with Distinct Bacterial and Fungal Community Structures,MSPHERE,31,2018
"RDL mutations predict multiple insecticide resistance in Anopheles sinensis in Guangxi, China",MALARIA JOURNAL,15,2017
"Genetic structure and evidence for coexistence of three taxa of Bithynia (Gastropoda: Bithyniidae), the intermediate host of Opisthorchis viverrini sensu lato (Digenea: Opisthorchiidae) in Thailand examined by mitochondrial DNA sequences analyses",ACTA TROPICA,4,2021
Whole genome de novo sequencing and comparative genomic analyses suggests that Chlamydia psittaci strain 84/2334 should be reclassified as Chlamydia abortus species,BMC GENOMICS,13,2021
The Effect of Gene Flow on Coalescent-based Species-Tree Inference,SYSTEMATIC BIOLOGY,66,2018
"Genome-Wide Analyses of the NAC Transcription Factor Gene Family in Pepper (Capsicum annuum L.): Chromosome Location, Phylogeny, Structure, Expression Patterns, Cis-Elements in the Promoter, and Interaction Network",INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,66,2018
A Structural and Functional Elucidation of the Rumen Microbiome Influenced by Various Diets and Microenvironments,FRONTIERS IN MICROBIOLOGY,178,2017
On the taxonomic rank of ciscaucasicus and its relationships with the pygmy wood mouse Sylvaemus uralensis inferred from the mtDNA cytochrome b gene sequence,RUSSIAN JOURNAL OF GENETICS,11,2007
"A tale of two waves: Delineating diverse genomic and transmission landscapes driving the COVID-19 pandemic in Pune, India",JOURNAL OF INFECTION AND PUBLIC HEALTH,0,2023
"Trypanosomatid Richness Among Rats, Opossums, and Dogs in the Caatinga Biome, Northeast Brazil, a Former Endemic Area of Chagas Disease",FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,4,2022
Host neighborhood shapes bacterial community assembly and specialization on tree species across a latitudinal gradient,ECOLOGICAL MONOGRAPHS,17,2021
Genome-wide identification and characterization of TALE superfamily genes in cotton reveals their functions in regulating secondary cell wall biosynthesis,BMC PLANT BIOLOGY,36,2019
Mining sequence variations in representative polyploid sugarcane germplasm accessions,BMC GENOMICS,60,2017
Developing an ancient epithelial appendage: FGF signalling regulates early tail denticle formation in sharks,EVODEVO,25,2017
NSF Workshop Report: Discovering General Principles of Nervous System Organization by Comparing Brain Maps Across Species,JOURNAL OF COMPARATIVE NEUROLOGY,27,2014
Genetic Lineage Distribution Modeling to Predict Epidemics of a Conifer Disease,FRONTIERS IN FORESTS AND GLOBAL CHANGE,4,2022
"Evaluation of linkage disequilibrium, population structure, and genetic diversity in the US peanut mini core collection",BMC GENOMICS,43,2019
Intercontinental Dispersal of HIV-1 Subtype B Associated with Transmission among Men Who Have Sex with Men in Japan,JOURNAL OF VIROLOGY,17,2014
"Epidemic Mortality of the Sponge Ircinia variabilis (Schmidt, 1862) Associated to Proliferation of a Vibrio Bacterium",MICROBIAL ECOLOGY,48,2012
A MEG investigation of somatosensory processing in the rhesus monkey,NEUROIMAGE,4,2009
Composition and diverse differences of intestinal microbiota in ulcerative colitis patients,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,29,2022
Genome-wide identification of BAM (β-amylase) gene family in jujube (Ziziphus jujuba Mill.) and expression in response to abiotic stress,BMC GENOMICS,14,2022
Genome-Wide Characterization and Expression Analysis of the HD-ZIP Gene Family in Response to Salt Stress in Pepper,INTERNATIONAL JOURNAL OF GENOMICS,14,2021
"Between an ocean and a high place: coastal drainage isolation generates endemic cryptic species in the Cape kurper Sandelia capensis (Anabantiformes: Anabantidae), Cape Region, South Africa",JOURNAL OF FISH BIOLOGY,10,2020
Epidemiological and genomic determinants of tuberculosis outbreaks in First Nations communities in Canada,BMC MEDICINE,9,2018
On the nature of fur evolution:: A phylogenetic approach in Actinobacteria,BMC EVOLUTIONARY BIOLOGY,21,2008
Gradients of bacteria in the oceanic water column reveal finely-resolved vertical distributions,PLOS ONE,0,2024
Evolution of major flowering pathway integrators in Orchidaceae,PLANT REPRODUCTION,0,2023
A comprehensive analysis of the genetic diversity and environmental adaptability in worldwide Merino and Merino-derived sheep breeds,GENETICS SELECTION EVOLUTION,5,2023
Assessment of the Transmission Dynamics of Clostridioides difficile in a Farm Environment Reveals the Presence of a New Toxigenic Strain Connected to Swine Production,FRONTIERS IN MICROBIOLOGY,5,2022
"A 28-Year History of HIV-1 Drug Resistance and Transmission in Washington, DC",FRONTIERS IN MICROBIOLOGY,9,2019
"Phylogeny of Salix subgenus Salix s.l. (Salicaceae): delimitation, biogeography, and reticulate evolution",BMC EVOLUTIONARY BIOLOGY,80,2015
Cellcell signaling drives the evolution of complex traits: introductionlung evo-devo,INTEGRATIVE AND COMPARATIVE BIOLOGY,13,2009
"The evolutionary history of sharp- and blunt-snouted lenok (Brachymystax lenok (Pallas, 1773)) and its implications for the paleo-hydrological history of Siberia",BMC EVOLUTIONARY BIOLOGY,28,2008
Comprehensive analysis of the NAC transcription factor gene family in Kandelia obovata reveals potential members related to chilling tolerance,FRONTIERS IN PLANT SCIENCE,5,2022
Geography vs. past climate: the drivers of population genetic structure of the Himalayan langur,BMC ECOLOGY AND EVOLUTION,2,2022
Phylogenetic Analysis of the SQUAMOSA Promoter-Binding Protein-Like Genes in Four Ipomoea Species and Expression Profiling of the IbSPLs During Storage Root Development in Sweet Potato (Ipomoea batatas),FRONTIERS IN PLANT SCIENCE,9,2022
Comparative proteomic analysis of Aurelia coerulea for its locomotion system molecular structure-function inference,JOURNAL OF PROTEOMICS,5,2019
High diversity of deep mitochondrial lineages meets low morphological distinctiveness- insights into the complex phylogeography of the Malagasy leaf-tailed geckos Uroplatus sikorae and U. sameiti,SALAMANDRA,1,2023
"Complete Mitochondrial Genome, Genetic Diversity and Phylogenetic Analysis of Pingpu Yellow Chicken (Gallus gallus)",ANIMALS,2,2022
Neophobia in 10 ungulate species-a comparative approach,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,17,2021
Identification of Resistance Genes and Response to Arsenic in Rhodococcus aetherivorans BCP1,FRONTIERS IN MICROBIOLOGY,35,2019
Molecular evolution analysis of MYB5 in Brassicaceae with specific focus on seed coat color of Brassica napus,BMC PLANT BIOLOGY,0,2024
Genome-Wide Identification and Characterization of LIM Gene Family in Grapevine (Vitis vinifera L.) and Their Expression Analysis at Early Bud Developmental Stages,PLANT MOLECULAR BIOLOGY REPORTER,1,2023
THE HUMAN-PLACENTA - A MODERN PORTRAIT,ZOOLOGISCHER ANZEIGER,1,1982
"Lasiodiplodia: Generic revision by providing molecular markers, geographical distribution and haplotype diversity",MYCOSPHERE,0,2023
Observation of the Gut Microbiota Profile in C57BL/6 Mice Induced by Plasmodium berghei ANKA Infection,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,9,2021
Dorsal striatum and the temporal expectancy of an aversive event in Pavlovian odor fear learning,NEUROBIOLOGY OF LEARNING AND MEMORY,1,2021
Natural selection and population genetic structure of domain-I of Plasmodium falciparum apical membrane antigen-1 in India,INFECTION GENETICS AND EVOLUTION,9,2013
Lineage divergence detected in the malaria vector Anopheles marajoara (Diptera: Culicidae) in Amazonian Brazil,MALARIA JOURNAL,31,2010
Genetic variation and population structure of Fasciola hepatica: an in silico analysis,PARASITOLOGY RESEARCH,0,2023
Initial Stage of Formation of Spontaneous Invasive Populations of Garden Lupine (Lupinus polyphyllus Lindl.) at the Northern Limit of Its Secondary Distribution Range in the Veps Forest Nature Park,AGRONOMY-BASEL,0,2022
Identification of Effector Metabolites Using Exometabolite Profiling of Diverse Microalgae,MSYSTEMS,9,2021
Four Species Linked by Three Hybrid Zones: Two Instances of Repeated Hybridization in One Species Group (Genus Liolaemus),FRONTIERS IN ECOLOGY AND EVOLUTION,6,2021
A Genome-Wide Analysis Reveals Stress and Hormone Responsive Patterns of TIFY Family Genes in Brassica rapa,FRONTIERS IN PLANT SCIENCE,47,2016
Comprehensive analysis and expression profiles of the AP2/ERF gene family during spring bud break in tea plant (Camellia sinensis),BMC PLANT BIOLOGY,5,2023
Origins of Functional Organization in the Visual Cortex,FRONTIERS IN SYSTEMS NEUROSCIENCE,11,2020
Population genetics of Aedes albopictus (Diptera: Culicidae) in its native range in Lao People's Democratic Republic,PARASITES & VECTORS,14,2019
Origins and Evolution of the Global RNA Virome,MBIO,329,2018
"Genome-wide identification, characterization and expression profiles of heavy metal ATPase 3 (HMA3) in plants",JOURNAL OF KING SAUD UNIVERSITY SCIENCE,6,2022
Phylogeography and demographic history of Siberian rubythroat Luscinia calliope,RUSSIAN JOURNAL OF GENETICS,4,2017
Antibody-Specific Model of Amino Acid Substitution for Immunological Inferences from Alignments of Antibody Sequences,MOLECULAR BIOLOGY AND EVOLUTION,32,2015
Reconstruction of the Evolutionary Dynamics of the A(H1N1)pdm09 Influenza Virus in Italy during the Pandemic and Post-Pandemic Phases,PLOS ONE,20,2012
Molecular Evolution of Dengue Virus 3 in Senegal between 2009 and 2022: Dispersal Patterns and Implications for Prevention and Therapeutic Countermeasures,VACCINES,0,2023
Lessons learned from community engagement regarding phylodynamic research with molecular HIV surveillance data,JOURNAL OF THE INTERNATIONAL AIDS SOCIETY,4,2023
The shift of soil microbial community induced by cropping sequence affect soil properties and crop yield,FRONTIERS IN MICROBIOLOGY,3,2023
"Morphological variation, genetic differentiation and phylogeography of the East Asia cicada Hyalessa maculaticollis (Hemiptera: Cicadidae)",SYSTEMATIC ENTOMOLOGY,22,2018
"Disturbed Placental Imprinting in Preeclampsia Leads to Altered Expression of DLX5, a Human-Specific Early Trophoblast Marker",CIRCULATION,51,2017
Biogeography and evolution of the Holarctic zooplankton genus Leptodora (Crustacea: Branchiopoda: Haplopoda),JOURNAL OF BIOGEOGRAPHY,69,2011
"First report of characterization and pathogenicity of Basidiobolus sp. Ind SN1 recovered from gastrointestinal basidiobolomycosis as an outbreak in a coldwater fish species rainbow trout, Oncorhynchus mykiss (Walbaum, 1792) in India",AQUACULTURE INTERNATIONAL,0,2024
CcMYB12 Positively Regulates Flavonoid Accumulation during Fruit Development in Carya cathayensis and Has a Role in Abiotic Stress Responses,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,6,2022
Urban biotic homogenization: Approaches and knowledge gaps,ECOLOGICAL APPLICATIONS,10,2022
Multilocus Sequence Typing ofEnterocytozoon bieneusiIsolates From Various Mammal and Bird Species and Assessment of Population Structure and Substructure,FRONTIERS IN MICROBIOLOGY,3,2020
Genetic variation of Echinococcus spp. in yaks and sheep in the Tibet Autonomous Region of China based on mitochondrial DNA,PARASITES & VECTORS,18,2019
"Hydrolysis of untreated lignocellulosic feedstock is independent of S-lignin composition in newly classified anaerobic fungal isolate, Piromyces sp UH3-1",BIOTECHNOLOGY FOR BIOFUELS,13,2018
How have sheep breeds differentiated from each other in Morocco? Genetic structure and geographical distribution patterns,GENETICS SELECTION EVOLUTION,2,2021
In silico characterization and differential expression analysis of 1-deoxy-d-xylulose-5-phosphate reductoisomerase (DXR) of Centella asiatica,3 BIOTECH,3,2021
Biotic and Environmental Drivers of Plant Microbiomes Across a Permafrost Thaw Gradient,FRONTIERS IN MICROBIOLOGY,22,2020
Transcription analysis on response of porcine alveolar macrophages to Haemophilus parasuis,BMC GENOMICS,52,2012
"Spatial diarrheal disease risks and antibiogram diversity of diarrheagenic Escherichia coli in selected access points of the Buffalo River, South Africa",PLOS ONE,0,2023
Transcriptomic profiling analysis to identify genes associated with PA biosynthesis and insolubilization in the late stage of fruit development in C-PCNA persimmon,SCIENTIFIC REPORTS,3,2022
Genetic characterization of canine distemper virus from wild and domestic animal submissions to diagnostic facilities in Canada,PREVENTIVE VETERINARY MEDICINE,8,2022
"Secretagogin is expressed in sensory CGRP neurons and in spinal cord of mouse and complements other calcium-binding proteins, with a note on rat and human",MOLECULAR PAIN,35,2012
"A rangewide phylogeography of Hermann's tortoise, Testudo hermanni (Reptilia: Testudines: Testudinidae):: implications for taxonomy",ZOOLOGICA SCRIPTA,109,2006
Social pressure drives conversational rules in great apes,BIOLOGICAL REVIEWS,12,2022
"The Molecular Interactions That Stabilize RNA Tertiary Structure: RNA Motifs, Patterns, and Networks",ACCOUNTS OF CHEMICAL RESEARCH,314,2011
Mitochondrial Genome Evolution in Annelida-A Systematic Study on Conservative and Variable Gene Orders and the Factors Influencing its Evolution,SYSTEMATIC BIOLOGY,5,2023
Comparative functional genomics analysis of cytochrome P450 gene superfamily in wheat and maize,BMC PLANT BIOLOGY,88,2020
Phylogeography of a successful aerial disperser: the golden orb spider Nephila on Indian Ocean islands,BMC EVOLUTIONARY BIOLOGY,57,2011
"A new Multi Locus Variable Number of Tandem Repeat Analysis Scheme for epidemiological surveillance of Xanthomonas vasicola pv. musacearum, the plant pathogen causing bacterial wilt on banana and enset",PLOS ONE,9,2019
Whole genome sequencing of drug resistant Mycobacterium tuberculosis isolates from a high burden tuberculosis region of North West Pakistan,SCIENTIFIC REPORTS,21,2019
A new protocol for the collection and cataloguing of reference material for the study of fossil Cyperaceae fruits: The Modern Carpological Collection,REVIEW OF PALAEOBOTANY AND PALYNOLOGY,13,2014
Molecular pathogen screening of louse flies (Diptera: Hippoboscidae) from domestic and wild ruminants in Austria,PARASITES & VECTORS,2,2023
Ascorbate-Glutathione Cycle Genes Families in Euphorbiaceae: Characterization and Evolutionary Analysis,BIOLOGY-BASEL,2,2023
"Identification of myosin genes and their expression in response to biotic (PVY, PVX, PVS, and PVA) and abiotic (Drought, Heat, Cold, and High-light) stress conditions in potato",MOLECULAR BIOLOGY REPORTS,1,2022
"The Dissemination of a Single Staphylococcus aureus Strain, Spa-t2873, as the Predominant Cause of Bovine Mastitis in Israeli Dairy Farms",VETERINARY SCIENCES,0,2022
Geogenomic Predictors of Genetree Heterogeneity Explain Phylogeographic and Introgression History: A Case Study in an Amazonian Bird (Thamnophilus aethiops),SYSTEMATIC BIOLOGY,0,2023
Expanding epidemic of recently acquired HCV in HIV-coinfected patients over a period of 10 years,JHEP REPORTS,2,2023
Dynamics of prevalence and distribution pattern of avian Plasmodium species and its vectors in diverse zoogeographical areas-A review,INFECTION GENETICS AND EVOLUTION,11,2020
Molecular discrimination of Opisthorchis-like eggs from residents in a rural community of central Thailand,PLOS NEGLECTED TROPICAL DISEASES,26,2017
Functional Genomic Analyses Reveal an Open Pan-genome for the Chloroviruses and a Potential for Genetic Innovation in New Isolates,JOURNAL OF VIROLOGY,7,2022
Systematics and symmetry in molecular phylogenetic modelling: perspectives from physics,JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL,0,2019
Significant Impacts of Increasing Aridity on the Arid Soil Microbiome,MSYSTEMS,148,2017
Evolutionary Dynamics of Pandemic Methicillin-Sensitive Staphylococcus aureus ST398 and Its International Spread via Routes of Human Migration,MBIO,48,2017
The NOX Family of Proteins Is Also Present in Bacteria,MBIO,36,2017
Drosophila sex combs as a model of evolutionary innovations,EVOLUTION & DEVELOPMENT,62,2011
Genome-wide identification and expression pattern analysis of the Aux/IAA (auxin/indole-3-acetic acid) gene family in alfalfa (Medicago sativa) and the potential functions under drought stress,BMC GENOMICS,0,2024
"Comparative transcriptional analysis of caffeoyl-coenzyme A 3-O-methyltransferase from Hibiscus cannabinus L., during developmental stages in various tissues and stress regulation",PLANT OMICS,20,2012
"Ecological Patterns of nifH Genes in Four Terrestrial Climatic Zones Explored with Targeted Metagenomics Using FrameBot, a New Informatics Tool",MBIO,280,2013
Genomics and Developmental Approaches to an Ascidian Adenohypophysis Primordium,INTEGRATIVE AND COMPARATIVE BIOLOGY,8,2010
Mapping interictal oscillations greater than 200 Hz recorded with intracranial macroelectrodes in human epilepsy,BRAIN,234,2010
Exploring Listeria monocytogenes Transcriptomes in Correlation with Divergence of Lineages and Virulence as Measured in Galleria mellonella,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,12,2019
Duplications and losses of genes encoding known elements of the stress defence system of the Aspergilli contribute to the evolution of these filamentous fungi but do not directly influence their environmental stress tolerance,STUDIES IN MYCOLOGY,11,2018
"Pattern of pollen composition of oligoelements, potential marker in plant cladistics",GRANA,2,1995
Integrated Identification and Genetic Diversity of Potentially Invasive Clearwing Moths (Lepidoptera: Cossoidea: Sesiidae) in Korea,INSECTS,0,2024
Clinical and molecular features of NDM-producing Acinetobacter baumannii in a multicenter study in Israel,ANNALS OF CLINICAL MICROBIOLOGY AND ANTIMICROBIALS,2,2023
