Article Title,Source Title,"Times Cited, All Databases",Publication Year
"AvNAC030, a NAC Domain Transcription Factor, Enhances Salt Stress Tolerance in Kiwifruit",INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,15,2021
JA-Responsive Transcription Factor SmMYB97 Promotes Phenolic Acid and Tanshinone Accumulation in Salvia miltiorrhiza,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,42,2020
"Hidden Genetic Variability, Can the Olive Moth Prays oleae (Lepidoptera: Yponomeutidae or Praydidae?) be a Species' Complex?",INSECTS,0,2020
Gene coexpression network analysis reveals the role of SRS genes in senescence leaf of maize (Zea mays L.),JOURNAL OF GENETICS,19,2019
Investigation of the diversity and origins of Chinese dairy goats via the mitochondrial DNA D-loop,JOURNAL OF ANIMAL SCIENCE,13,2015
DETECTION AND CHARACTERISATION OF HEPATITIS E VIRUS IN NATURALLY INFECTED SWINE IN CROATIA,ACTA VETERINARIA HUNGARICA,9,2013
Evolution of petal identity,JOURNAL OF EXPERIMENTAL BOTANY,80,2009
"Genome-wide identification, characterization and transcriptional profile of the SWEET gene family in Dendrobium officinale",BMC GENOMICS,1,2023
Machine Intelligence in Single-Cell Data Analysis: Advances and New Challenges,FRONTIERS IN GENETICS,37,2021
Genetic diversity and geographic distribution of Bemisia tabaci species complex in Nepal,JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,7,2020
Computational Strategies for Dissecting the High-Dimensional Complexity of Adaptive immune Repertoires,FRONTIERS IN IMMUNOLOGY,120,2018
"Genetic diversity of the captive Asian tapir population in Thailand, based on mitochondrial control region sequence data and the comparison of its nucleotide structure with Brazilian tapir",MITOCHONDRIAL DNA PART A,4,2017
MITOCHONDRIAL CONTROL REGION DNA VARIATION IN TURBOT POPULATIONS FROM THE BULGARIAN AND ROMANIAN BLACK SEA COASTS,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,8,2011
The use of molecular techniques to resolve relationships among traditional weaving cultivars of Phormium,NEW ZEALAND JOURNAL OF BOTANY,12,2003
Regional and developmental expression of Epm2a gene and its evolutionary conservation,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,41,2001
Inferring the age difference in HIV transmission pairs by applying phylogenetic methods on the HIV transmission network of the Swiss HIV Cohort Study,VIRUS EVOLUTION,16,2018
Languages with more speakers tend to be harder to (machine-)learn,SCIENTIFIC REPORTS,0,2023
Hybrid-biotaxonomy-like machine learning enables an anticipated surface plasmon resonance of Au/Ag nanoparticles assembled on ZnO nanorods,JOURNAL OF MATERIALS CHEMISTRY A,3,2023
"Taxonomy and Genetic Diversity of Amphipods Living on Ulva lactuca L. from Gouqi Coast, China",PACIFIC SCIENCE,14,2020
Ex situ conservation of plant diversity in the world's botanic gardens,NATURE PLANTS,157,2017
"ATPase 8/6 gene based genetic diversity assessment of snakehead murrel, Channa striata (Perciformes, Channidae)",RUSSIAN JOURNAL OF GENETICS,3,2015
Phylodynamic and Phylogeographic Patterns of the HIV Type 1 Subtype F1 Parenteral Epidemic in Romania,AIDS RESEARCH AND HUMAN RETROVIRUSES,6,2012
Members of the Arabidopsis WRKY group III transcription factors are part of different plant defense signaling pathways,MOLECULAR PLANT-MICROBE INTERACTIONS,291,2003
Phylogenetic footprinting of transcription factor binding sites in proteobacterial genomes,NUCLEIC ACIDS RESEARCH,227,2001
FINE-STRUCTURE OF THE CONE OF HETERODERA-SCHACHTII WITH EMPHASIS ON MUSCULATURE AND FENESTRATION,JOURNAL OF NEMATOLOGY,4,1991
Phylogenetic diversification and developmental implications of poly-(R)-3-hydroxyalkanoate gene cluster assembly in prokaryotes,FEMS MICROBIOLOGY LETTERS,10,2017
Deep sequencing of H7N8 avian influenza viruses from surveillance zone supports H7N8 high pathogenicity avian influenza was limited to a single outbreak farm in Indiana during 2016,VIROLOGY,16,2017
Population genetic structure of Cheyletus malaccensis (Acari: Cheyletidae) in China based on mitochondrial COI and 12S rRNA genes,EXPERIMENTAL AND APPLIED ACAROLOGY,17,2016
Origin and genetic diversity of Chinese domestic ducks,MOLECULAR PHYLOGENETICS AND EVOLUTION,43,2010
Mitochondrial DNA differentiation in the critically endangered Berg River redfin (Pseudobarbus burgi),JOURNAL OF HEREDITY,15,2000
Complex evolutionary history of felid anelloviruses,VIROLOGY,13,2021
"Dancing on the top: phylogeography and genetic diversity of high-altitude freshwater fairy shrimps (Branchiopoda, Anostraca) with a focus on the Tibetan Plateau",HYDROBIOLOGIA,3,2021
"lncRNAKB, a knowledgebase of tissue-specific functional annotation and trait association of long noncoding RNA",SCIENTIFIC DATA,38,2020
Genetic structure and population dynamics of the silver pheasant (Lophura nycthemera) in southern China,TURKISH JOURNAL OF ZOOLOGY,1,2020
Genomics of the origin and evolution of Citrus,NATURE,512,2018
"Multiple nuclear and mitochondrial genes resolve the branching order of a rapid radiation of crested newts (Triturus, Salamandridae)",MOLECULAR PHYLOGENETICS AND EVOLUTION,42,2009
Biological relationship between central and south American Chibchan speaking populations:: Evidence from mtDNA,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,59,2007
Molecular characterization of Trichoderma taxa causing green mould disease in edible mushrooms,CURRENT SCIENCE,17,2006
Supermatrix analyses and molecular clock rooting of Fabales: Exploring the effects of outgroup choice and long branch attraction on topology,BOTANY,6,2020
Production of Calcite Nanocrystal by a Urease-Positive Strain of Enterobacter ludwigii and Study of Its Structure by SEM,CURRENT MICROBIOLOGY,10,2013
Historical demography of brown trout (Salmo trutta) in the Adriatic drainage including the putative,MOLECULAR PHYLOGENETICS AND EVOLUTION,69,2007
Evolutionary conserved peptide and glycoprotein hormone-like neuroendocrine systems in C. elegans,MOLECULAR AND CELLULAR ENDOCRINOLOGY,0,2024
Melioidosis in Timor-Leste: First Case Description and Phylogenetic Analysis,OPEN FORUM INFECTIOUS DISEASES,0,2023
Deeply conserved synteny and the evolution of metazoan chromosomes,SCIENCE ADVANCES,56,2022
Reconciling the father tongue and mother tongue hypotheses in Indo-European populations,NATIONAL SCIENCE REVIEW,2,2019
Evolution of Vertebrate Immunity,CURRENT BIOLOGY,112,2012
"Evolutionary relationships in Oxytropis species, as estimated from the nuclear ribosomal internal transcribed spacer (ITS) sequences point to multiple expansions into the Arctic",BOTANY,26,2012
Morphological and genetic analysis of Vietnamese Sus scrofa bones for evidence of pig domestication,ANIMAL SCIENCE JOURNAL,9,2008
Arbuscular mycorrhizal symbionts in Botrychium (Ophioglossaceae),AMERICAN JOURNAL OF BOTANY,73,2007
PHYLOGENETIC PLASTICITY OF NEURONAL NETWORKS IN CRUSTACEA - COMPARISON BETWEEN GASTRIC NEUROMUSCULAR SYSTEMS IN LARGE DECAPODA (PALINURUS AND HOMARUS) AND SHRIMPS (PENAEUS AND PALAEMON),COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE L ACADEMIE DES SCIENCES SERIE D,1,1976
Temporal bacterial community succession during the start-up process of biofilters in a cold-freshwater recirculating aquaculture system,BIORESOURCE TECHNOLOGY,37,2019
Testing the hypothesis of an ancient Roman soldier origin of the Liqian people in northwest China: a Y-chromosome perspective,JOURNAL OF HUMAN GENETICS,8,2007
Accelerating the discovery of rare tree species in Amazonian forests: integrating long monitoring tree plot data with metabolomics and phylogenetics for the description of a new species in the hyperdiverse genus Inga Mill,PEERJ,0,2022
A Human IgSF Cell-Surface Interactome Reveals a Complex Network of Protein-Protein Interactions,CELL,55,2020
Comparative genomics of Sphingopyxis spp. unravelled functional attributes,GENOMICS,16,2020
Optimized Enzymatic Synthesis of Feruloyl Derivatives Catalyzed by Three Novel Feruloyl Esterases from Talaromyces wortmannii in Detergentless Microemulsions,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,3,2018
A proposed model for the flowering signaling pathway of sugarcane under photoperiodic control,GENETICS AND MOLECULAR RESEARCH,14,2013
"Patterns of speciation in two sibling species of Graomys (Rodentia, Cricetidae) based on mtDNA sequences",JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,13,2010
Microarray analysis of the moss Physcomitrella patens reveals evolutionarily conserved transcriptional regulation of salt stress and abscisic acid signalling,PLANT MOLECULAR BIOLOGY,89,2010
Dispersal patterns and influence of air travel during the global expansion of SARS-CoV-2 variants of concern,CELL,8,2023
"Genetic structure of Octopus minor around Chinese waters as indicated by nuclear DNA variations (Mollusca, Cephalopoda)",ZOOKEYS,6,2018
"Fuzzy species limits in Mediterranean gorgonians (Cnidaria, Octocorallia): inferences on speciation processes",ZOOLOGICA SCRIPTA,10,2017
DNA barcoding of five common stored-product pest species of genus Cryptolestes (Coleoptera: Laemophloeidae),BULLETIN OF ENTOMOLOGICAL RESEARCH,16,2014
Single neurons in monkey prefrontal cortex encode volitional initiation of vocalizations,NATURE COMMUNICATIONS,102,2013
COMPLEX MTDNA VARIATION AND SPECIES DELIMITATIONS IN THE PHYCIODES THAROS SPECIES GROUP (NYMPHALIDAE: MELITAEINI): A SECOND LOOK IN MICHIGAN AND OHIO,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,3,2012
Molecular genetic diversity and origin of Chinese domestic duck breeds,ARCHIV FUR TIERZUCHT-ARCHIVES OF ANIMAL BREEDING,5,2010
ARCHAEBACTERIA IN MICROBIAL COMMUNITIES,ZHURNAL OBSHCHEI BIOLOGII,3,1991
Genomic and epidemiological perspectives on the first local sporadic cases of Mpox in China,EMERGING MICROBES & INFECTIONS,1,2023
Global Networks of Symbiodinium-Bacteria Within the Coral Holobiont,MICROBIAL ECOLOGY,35,2019
Potential gene flow in natural populations of the Drosophila ananassae species cluster inferred from a nuclear mitochondrial pseudogene,MOLECULAR PHYLOGENETICS AND EVOLUTION,11,2008
"Homology modeling provides insights into the binding mode of the PAAD/DAPIN/pyrin domain, a fourth member of the CARD/DD/DED domain family",PROTEIN SCIENCE,33,2003
The ERGO™ genome analysis and discovery system,NUCLEIC ACIDS RESEARCH,205,2003
How Does Circadian Rhythm Shape Host-Parasite Associations? A Comparative Study on Infection Patterns in Diurnal and Nocturnal Raptors,DIVERSITY-BASEL,3,2021
Conservation and Diversity of MicroRNA-associated Copper-regulatory Networks in Populus trichocarpa,JOURNAL OF INTEGRATIVE PLANT BIOLOGY,58,2011
Gene co-regulation is highly conserved in the evolution of eukaryotes and prokaryotes,NUCLEIC ACIDS RESEARCH,58,2004
Bioelectrochemical catabolism of triclocarban through the cascade acclimation of triclocarban-hydrolyzing and chloroanilines-oxidizing microbial communities,ENVIRONMENTAL RESEARCH,8,2022
Inferring phylogenetic relationships in the common vole (Microtus arvalis) based on mitochondrial and nuclear sequence diversities,TURKISH JOURNAL OF ZOOLOGY,2,2021
Phylogenomics Reveals an Ancient Hybrid Origin of the Persian Walnut,MOLECULAR BIOLOGY AND EVOLUTION,70,2019
A Multi-Layered Study on Harmonic Oscillations in Mammalian Genomics and Proteomics,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,8,2019
"Genetic Structure of Octopus minor (Sasaki, 1920) (Cephalopoda: Octopoda) from Chinese Waters using Mitochondrial ATPase 6 Gene",PAKISTAN JOURNAL OF ZOOLOGY,0,2019
"Mitochondrial DNA-Based Analyses of Relatedness Among Turkeys, Meleagris gallopavo",BIOCHEMICAL GENETICS,7,2015
Historical divergence in Anadenanthera colubrina var. cabil (Leguminosae) analyzing an intronic region of chloroplast DNA,BOLETIN DE LA SOCIEDAD ARGENTINA DE BOTANICA,1,2014
Vascular endothelial growth factor-like and its receptor in a crustacean optic ganglia: A role in neuronal differentiation?,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,7,2014
Molecular phylogeography of tick-borne encephalitis virus in central Europe,JOURNAL OF GENERAL VIROLOGY,36,2013
Mitochondrial sequence variation in ancient horses from the Carpathian Basin and possible modern relatives,GENETICA,15,2010
Identification of a C2H2 Transcription Factor (PsCZF3) Associated with RxLR Effectors and Carbohydrate-Active Enzymes in Phytophthora sojae Based on WGCNA,JOURNAL OF FUNGI,1,2022
Differentiation in the eastern Asian Periphyllus koelreuteriae (Hemiptera: Aphididae) species complex driven by climate and host plant,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,5,2021
"Population genetic structure of the endangered yellow spotted mountain newt (Neurergus derjugini: Amphibia, Caudata) inferred from mitochondrial DNA sequences",HERPETOLOGICAL JOURNAL,4,2019
Genome-wide comparison and taxonomic relatedness of multiple Xylella fastidiosa strains reveal the occurrence of three subspecies and a new Xylella species,ARCHIVES OF MICROBIOLOGY,50,2016
Evolutionary and Functional Analysis of the Key Pluripotency Factor Oct4 and Its Family Proteins,JOURNAL OF GENETICS AND GENOMICS,7,2013
Isolation and expression of a cold-responsive gene PtCBF in Poncirus trifoliata and isolation of citrus CBF promoters,BIOLOGIA PLANTARUM,26,2012
Mitochondrial DNA diversity and population structure ofLaodelphax striatellusacross a broad geographic area in China,MITOCHONDRIAL DNA PART A,6,2020
Preliminary assessment of the genetic population structure of the enigmatic species Laonastes aenigmamus (Rodentia: Diatomyidae),JOURNAL OF MAMMALOGY,6,2011
"Internal transcribed spacer haplotype diversity and their geographical distribution in Dasyscyphella longistipitata (Hyaloscyphaceae, Helotiales) occurring on Fagus crenata cupules in Japan",MYCOSCIENCE,8,2010
The evidence of mtDNA haplogroup F in a European population and its ethnohistoric implications,EUROPEAN JOURNAL OF HUMAN GENETICS,32,2001
DISTRIBUTION OF VASOTOCIN-LIKE AND MESOTOCIN-LIKE IMMUNOREACTIVITIES IN THE BRAIN OF THE SOUTH-AFRICAN CLAWED FROG XENOPUS-LAEVIS,JOURNAL OF CHEMICAL NEUROANATOMY,68,1992
Mechanism of Inward Proton Transport in an Antarctic Microbial Rhodopsin,JOURNAL OF PHYSICAL CHEMISTRY B,29,2020
Assigning chemoreceptors to chemosensory pathways in Pseudomonas aeruginosa,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,58,2017
Deep phylogenomics of a tandem-repeat galectin regulating appendicular skeletal pattern formation,BMC EVOLUTIONARY BIOLOGY,11,2016
Multiple early introductions of SARS-CoV-2 into a global travel hub in the Middle East,SCIENTIFIC REPORTS,22,2020
Extracellular matrix composition of different spleen compartments of fruit bats,ANATOMIA HISTOLOGIA EMBRYOLOGIA,0,2020
Rediscovery of Oryzias hubbsi with notes on its reproductive isolation with O. javanicus,ICHTHYOLOGICAL RESEARCH,0,2024
Complementing model species with model clades,PLANT CELL,2,2023
"Hydatigera taeniaeformis in urban rats (Rattus rattus) in Faisalabad, Pakistan",INFECTION GENETICS AND EVOLUTION,6,2021
Architecture of the human XPC DNA repair and stem cell coactivator complex,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,23,2015
Evolution of DNA Specificity in a Transcription Factor Family Produced a New Gene Regulatory Module,CELL,104,2014
Evolutionary Relationships in the Drosophila ananassae Species Cluster Based on Introns of Multiple Nuclear Loci,ZOOLOGICAL SCIENCE,4,2010
A uniquely high number of ftsZ genes in the moss Physcomitrella patens,PLANT BIOLOGY,19,2009
Ribosomal RNA genes from Prevotella bryantii:: Organization and heterogeneity,FOLIA MICROBIOLOGICA,3,2001
FLORAL DEVELOPMENT AND VASCULATURE IN HYDROCLEIS NYMPHOIDES (BUTOMACEAE),AMERICAN JOURNAL OF BOTANY,17,1968
End-to-end learning of evolutionary models to find coding regions in genome alignments,BIOINFORMATICS,0,2022
Pollinators contribute to the maintenance of flowering plant diversity,NATURE,77,2021
"The taxonomic status of Myotis nesopolus larensis (Chiroptera, Vespertilionidae) and new insights on the diversity of Caribbean Myotis",ZOOKEYS,10,2021
Morphological and Molecular Identification of Anagrus 'atomus' Group (Hymenoptera: Mymaridae) Individuals from Different Geographic Areas and Plant Hosts in Europe,JOURNAL OF INSECT SCIENCE,9,2016
Molecular identification and phylogeny of an aquatic moss species in Antarctic lakes,POLAR BIOLOGY,13,2013
The ignored diversity: complex bacterial communities in intensive care units revealed by 16S pyrosequencing,SCIENTIFIC REPORTS,176,2013
Neural activity associated with monitoring the oscillating threat value of a tarantula,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,261,2010
A genetic analysis of hepatitis Cvirus transmission between injection drug users,JOURNAL OF INFECTIOUS DISEASES,66,2002
Genome-Wide Identification and Transcriptional Analysis of Arabidopsis DUF506 Gene Family,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,8,2021
"Insights into the succession of the bacterial microbiota during biodrying of storage sludge mixed with beer lees: Studies on its biodiversity, structure, associations, and functionality",SCIENCE OF THE TOTAL ENVIRONMENT,18,2018
Genome-Wide Identification and Analysis of MAPK and MAPKK Gene Families in Bread Wheat (Triticum aestivum L.),GENES,37,2017
Genetic Diversity and Population Structure of Tibetan Pig Inferred from Mitochondrial DNA Sequence Analysis,JOURNAL OF ANIMAL AND VETERINARY ADVANCES,0,2012
"Genetic Variability of Thermal Nymphaea (Nymphaeaceae) Populations Based on ISSR Markers: Implications on Relationships, Hybridization, and Conservation",PLANT MOLECULAR BIOLOGY REPORTER,21,2011
Behavior analysis and neuroscience,BEHAVIOURAL PROCESSES,17,2002
Phylogenomic approaches to detecting and characterizing introgression,GENETICS,65,2022
A network-based comparative framework to study conservation and divergence of proteomes in plant phylogenies,NUCLEIC ACIDS RESEARCH,4,2021
Multiple origins of prokaryotic and eukaryotic single-stranded DNA viruses from bacterial and archaeal plasmids,NATURE COMMUNICATIONS,108,2019
Massively parallel sequencing of single cells by epicPCR links functional genes with phylogenetic markers,ISME JOURNAL,176,2016
"Taxonomy, morphology, and genetic variation of Nitella flexilis var. bifurcata (Charales, Characeae) from Japan",PHYCOLOGICAL RESEARCH,6,2015
"A COMPARISON OF THE GENOMES OF CAPRIPOXVIRUS ISOLATES OF SHEEP, GOATS, AND CATTLE",VIROLOGY,46,1988
Learning From an Artificial Neural Network in Phylogenetics,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,0,2024
"Genetic variation of the giant water bug Lethocerus indicus (Lepeletier and Serville, 1825) (Hemiptera: Belostomatidae) collected from natural habitats in northeastern Thailand",AQUATIC INSECTS,2,2022
Haplotype diversity in MC1R locus between the Min and white-haired pig breeds,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0,2017
"Bythinella Moquin-Tandon, 1856 (Gastropoda: Rissooidea: Bythinellidae) in Romania: species richness in a glacial refugium",JOURNAL OF NATURAL HISTORY,37,2009
The Invariant Nature of a Morphological Character and Character State: Insights from Gene Regulatory Networks,SYSTEMATIC BIOLOGY,7,2020
"A revision of Salispina, its placement in a new family, Salispinaceae (Rhipidiales), and description of a fourth species, S. hoi sp. nov.",IMA FUNGUS,8,2018
Genotypic and Phylogenetic Insights on Prevention of the Spread of HIV-1 and Drug Resistance in Real-World Settings,VIRUSES-BASEL,19,2018
Probing the structure of Saccharomyces cerevisiae RNase MRP,BIOCHEMICAL SOCIETY TRANSACTIONS,8,2005
"Taxonomic implications in conservation management of white-clawed crayfish (Austropotamobius pallipes) (Decapoda, Astacidae) in Northern Italy",BIOLOGICAL CONSERVATION,32,2004
Computation-based discovery of related transcriptional regulatory modules and motifs using an experimentally validated combinatorial model,GENOME RESEARCH,158,2002
Evolution of chromosome-arm aberrations in breast cancer through genetic network rewiring,CELL REPORTS,1,2024
"Phylogeography and population structure of Lagocephalus spadiceus (Richardson, 1845) (Tetraodontiformes, Tetraodontidae) in the South China Sea",ECOLOGY AND EVOLUTION,0,2024
MULTIPLE GENE MARKERS TO UNDERSTAND GENETIC DIVERSITY IN THE BEMISIA TABACI (HEMIPTERA: ALEYRODIDAE) SPECIES COMPLEX,FLORIDA ENTOMOLOGIST,4,2014
Evolutionary perspective on hepatitis B virus with an expanded sampling strategy,VIRUS RESEARCH,0,2013
SplitsTree: analyzing and visualizing evolutionary data,BIOINFORMATICS,1390,1998
Maternal Lineages from 10-11th Century Commoner Cemeteries of the Carpathian Basin,GENES,9,2021
Identification of Antifungal Targets Based on Computer Modeling,JOURNAL OF FUNGI,8,2018
Evolutionary dynamics of recent peste des petits ruminants virus epidemic in China during 2013-2014,VIROLOGY,31,2017
The origin and functional transition of P34,HEREDITY,5,2013
Identification and expression analysis of NAC transcription factors potentially involved in leaf and petal senescence in Petunia hybrida,PLANT SCIENCE,21,2019
Phylogenetic relationships of diploid and polyploid species in Ludwigia sect. Isnardia (Onagraceae) based on chloroplast and nuclear DNAs,TAXON,13,2009
Microbial mechanisms responsible for the variation of soil Cd availability under different pe plus pH environments,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,15,2020
"Genome-wide identification, classification, and functional analysis of the basic helix-loop-helix transcription factors in the cattle, Bos Taurus",MAMMALIAN GENOME,13,2017
Batesian insect-insect mimicry-related explosive radiation of ancient alienopterid cockroaches,BIOLOGIA,58,2018
Molecular Evolution of Insect Sociality: An Eco-Evo-Devo Perspective,"ANNUAL REVIEW OF ENTOMOLOGY, VOL 62",87,2017
Genetic and shell-shape analyses of Orlitia borneensis (Testudines: Geoemydidae) reveal limited divergence among founders of the European zoo population,ZOOTAXA,4,2012
"Colonization Process of the Brazilian Common Vesper Mouse, Calomys expulsus (Cricetidae, Sigmodontinae): A Biogeographic Hypothesis",JOURNAL OF HEREDITY,28,2011
Evolutionary insights inferred by molecular analysis of the ITS1-5.8S-ITS2 and IGS Avena sp sequences,MOLECULAR PHYLOGENETICS AND EVOLUTION,39,2008
The cerebellum plays a role in conscious episodic memory retrieval,HUMAN BRAIN MAPPING,129,1999
"Integrated Analysis of Patient Networks and Plasmid Genomes to Investigate a Regional, Multispecies Outbreak of Carbapenemase-Producing Enterobacterales Carrying Both blaIMP and mcr-9 Genes",JOURNAL OF INFECTIOUS DISEASES,0,2024
Genome-Wide Identification and Expression Analysis of the Aux/IAA Gene Family of the Drumstick Tree (Moringa oleifera Lam.) Reveals Regulatory Effects on Shoot Regeneration,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,2,2022
Transcriptome and Metabolomics Integrated Analysis Reveals Terpene Synthesis Genes Controlling Linalool Synthesis in Grape Berries,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,12,2022
Type 1 Diabetes: Urinary Proteomics and Protein Network Analysis Support Perturbation of Lysosomal Function,THERANOSTICS,27,2017
Phylogenetic and morphometric relationships between two species of genus Auxis from the South China Sea and Java Sea,ACTA OCEANOLOGICA SINICA,2,2016
Identification and primary immune characteristics of an amphioxus akirin homolog,FISH & SHELLFISH IMMUNOLOGY,14,2013
"GENETIC-VARIATION OF HIV TYPE-1 IN 4 WORLD-HEALTH-ORGANIZATION-SPONSORED VACCINE EVALUATION SITES - GENERATION OF FUNCTIONAL ENVELOPE (GLYCOPROTEIN-160) CLONES REPRESENTATIVE OF SEQUENCE SUBTYPE-A, SUBTYPE-B, SUBTYPE-C, AND SUBTYPE-E",AIDS RESEARCH AND HUMAN RETROVIRUSES,118,1994
From forest to savanna and back to forest: Evolutionary history of the genus Dimorphandra (Fabaceae),JOURNAL OF PLANT RESEARCH,1,2024
A computational framework to explore large-scale biosynthetic diversity,NATURE CHEMICAL BIOLOGY,425,2020
Whole-genome sequencing of the blue whale and other rorquals finds signatures for introgressive gene flow,SCIENCE ADVANCES,100,2018
Integration of Biomass Formulations of Genome-Scale Metabolic Models with Experimental Data Reveals Universally Essential Cofactors in Prokaryotes,METABOLIC ENGINEERING,63,2017
"Genetic Structure Inferred from Mitochondrial 12S Ribosomal RNA Sequence of Oncomelania quadrasi, the Intermediate Snail Host of Schistosoma japonicum in the Philippines",AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,10,2014
Sequencing of the smallest Apicomplexan genome from the human pathogen Babesia microti†,NUCLEIC ACIDS RESEARCH,177,2012
"Biogeographical Study of Plateau Pikas Ochotona curzoniae (Lagomorpha, Ochotonidae)",ZOOLOGICAL SCIENCE,17,2012
"Redescription of the holotype of Phyloblatta gaudryi (Agnus, 1903) (Pennsylvanian; Commentry, France), an exceptionally well-preserved stem-dictyopteran",GEODIVERSITAS,17,2011
Computational identification of protein-protein interactions in model plant proteomes,SCIENTIFIC REPORTS,48,2019
Correlation of quantitative bone histology data with life history and climate: a phylogenetic approach,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,12,2014
Specific network information gain for detecting the critical state of colorectal cancer based on gut microbiome,BRIEFINGS IN BIOINFORMATICS,1,2024
