Article Title,Source Title,"Times Cited, All Databases",Publication Year
Genome-wide expression analysis of LBD genes in tomato (Solanum lycopersicum L.) under different light conditions,PLANT SIGNALING & BEHAVIOR,0,2023
Taxonomic and genetic assessment of captive White-Handed Gibbons (Hylobates lar) in Peninsular Malaysia with implications towards conservation translocation and reintroduction programmes,ZOOKEYS,1,2021
Genome-Wide Characterization of Heat-Shock Protein 70s from Chenopodium quinoa and Expression Analyses of Cqhsp70s in Response to Drought Stress,GENES,37,2018
Evolutionary and Expression Analyses of the Apple Basic Leucine Zipper Transcription Factor Family,FRONTIERS IN PLANT SCIENCE,78,2016
"Genetic analysis of river, swamp and hybrid buffaloes of north-east India throw new light on phylogeography of water buffalo (Bubalus bubalis)",JOURNAL OF ANIMAL BREEDING AND GENETICS,31,2015
Comparative Study on the Genetic Diversity of GHR Gene in Tibetan Cattle and Holstein Cows,ANIMAL BIOTECHNOLOGY,4,2015
"Neuromolecular responses to social challenge: Common mechanisms across mouse, stickleback fish, and honey bee",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,129,2014
Genetic structure of Eurasian and North American mallard ducks based on mtDNA data,ANIMAL GENETICS,12,2012
"Organisation of the praesoma in Acanthocephalus anguillae (Acanthocephala, Palaeacanthocephala) with special reference to the muscular system",ZOOMORPHOLOGY,21,2001
"Phenotypic plasticity, genetic structure and systematic position of Neoechinorhynchus emyditoides Fisher, 1960 (Acanthocephala: Neoechinorhynchidae): a parasite of emydid turtles from the Nearctic and Neotropical regions",PARASITOLOGY,3,2022
Genome-Wide Characterization and Anthocyanin-Related Expression Analysis of the B-BOX Gene Family in Capsicum annuum L.,FRONTIERS IN GENETICS,11,2022
Genome-Wide Profiling of WRKY Genes Involved in Benzylisoquinoline Alkaloid Biosynthesis in California Poppy (Eschscholzia californica),FRONTIERS IN PLANT SCIENCE,13,2021
"Phylogeny and phylogeography of the genus Alburnoides (Teleostei, Cyprinidae) in Turkey based on mitochondrial DNA sequences",MITOCHONDRIAL DNA PART A,12,2019
A crash course in sequencing for a microbiologist,JOURNAL OF APPLIED GENETICS,23,2019
Genome-wide characterization and expression analysis of GRAS gene family in pepper (Capsicum annuum L.),PEERJ,41,2018
"Combining protein sequence, structure, and dynamics: A novel approach for functional evolution analysis of PAS domain superfamily",PROTEIN SCIENCE,11,2018
Male cooperation for breeding opportunities contributes to the evolution of multilevel societies,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,36,2017
"Urban aquatic habitats and conservation of highly endangered species: the case of Ambystoma mexicanum (Caudata, Ambystomatidae)",ANNALES ZOOLOGICI FENNICI,27,2010
"Norovirus Illness Is a Global Problem: Emergence and Spread of Norovirus GII.4 Variants, 2001-2007",JOURNAL OF INFECTIOUS DISEASES,635,2009
Gene-based sequence diversity analysis of field pea (Pisum),GENETICS,63,2007
"Comparative phylogeography and genetic structure of Vanuatu birds: Control region variation in a rail, a dove, and a passerine",MOLECULAR PHYLOGENETICS AND EVOLUTION,27,2007
Developmental expression of transcription factor genes in a demosponge:: insights into the origin of metazoan multicellularity,EVOLUTION & DEVELOPMENT,163,2006
Inference of Infectious Disease Transmission through a Relaxed Bottleneck Using Multiple Genomes Per Host,MOLECULAR BIOLOGY AND EVOLUTION,0,2024
Genome-Wide Identification of bHLH Transcription Factor in Medicago sativa in Response to Cold Stress,GENES,4,2022
"Reassessing North Eastern Atlantic-Mediterranean species of Trapania (Mollusca, Nudibranchia)",ZOOLOGICA SCRIPTA,10,2022
Biodiversity and antimicrobial potential of bacterial endophytes from halophyte Salicornia brachiata,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,8,2021
Distribution and Genetic Diversity of Aedes aegypti Subspecies across the Sahelian Belt in Sudan,PATHOGENS,8,2021
"Phylogenetic status and genetic diversity of corsac fox (Vulpes corsac) in Golestan Province, Iran",TURKISH JOURNAL OF ZOOLOGY,6,2017
Phylogeography of oribi antelope in South Africa: evolutionary versus anthropogenic panmixia,AFRICAN ZOOLOGY,10,2017
A Dynamic Cloud Dimensioning Approach for Parallel Scientific Workflows: a Case Study in the Comparative Genomics Domain,JOURNAL OF GRID COMPUTING,3,2016
Genome-scale prediction of moonlighting proteins using diverse protein association information,BIOINFORMATICS,27,2016
Phylogenetic position of the house dust mite subfamily Guatemalichinae (Acariformes: Pyroglyphidae) based on integrated molecular and morphological analyses and different measures of support,CLADISTICS,5,2016
Systematic analysis of leucine-rich repeat disease resistance genes in maize,MAYDICA,1,2016
"An informational diversity framework, illustrated with sexually deceptive orchids in early stages of speciation",MOLECULAR ECOLOGY RESOURCES,46,2015
NoC-Based Hardware Accelerator for Breakpoint Phylogeny,IEEE TRANSACTIONS ON COMPUTERS,11,2012
Dishevelled is essential for neural connectivity and planar cell polarity in planarians,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,75,2011
"Cryptic Diversity in Sympatric Migonemyia migonei (Diptera: Psychodidae), Eventual Meaning for Leishmaniasis Transmission",NEOTROPICAL ENTOMOLOGY,0,2024
The genome of the glasshouse plant noble rhubarb (Rheum nobile) provides a window into alpine adaptation,COMMUNICATIONS BIOLOGY,3,2023
"Puccinia coronata var. coronata, a Crown Rust Pathogen of Two Highly Invasive Species, Is Detected Across the Midwest and Northeastern United States",PLANT DISEASE,1,2023
Mitochondrial sequence-based evolutionary analysis of riverine-swamp hybrid buffaloes of India indicates novel maternal differentiation and domestication patterns,ANIMAL GENETICS,11,2020
"Residence time, native range size, and genome size predict naturalization among angiosperms introduced to Australia",ECOLOGY AND EVOLUTION,14,2017
Genetic relationships between landlocked and coastal populations of Lycengraulis grossidens (Engraulidae) in south-eastern South America: evidence for a continental colonisation route with secondary transitions to the coastal region,MARINE AND FRESHWATER RESEARCH,3,2017
Genetic differentiation of Liparus glabrirostris (Curculionidae: Molytinae) populations from the fragmented habitats of the Alps and Carpathian Mountains,BULLETIN OF ENTOMOLOGICAL RESEARCH,2,2016
"Is the Mediterranean nudibranch Cratena peregrina (Gmelin, 1791) present on the Brazilian coast? Integrative species delimitation and description of Cratena minor n. sp.",JOURNAL OF MOLLUSCAN STUDIES,39,2014
Brain responses associated with consciousness of breathlessness (air hunger),PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,224,2001
HOST-PARASITE RELATIONSHIPS OF ATALODERA SPP (HETERODERIDAE),JOURNAL OF NEMATOLOGY,15,1983
Cytoplasmic Polyadenylation Is an Ancestral Hallmark of Early Development in Animals,MOLECULAR BIOLOGY AND EVOLUTION,3,2023
Hnf1b renal expression directed by a distal enhancer responsive to Pax8,SCIENTIFIC REPORTS,0,2022
The Evolution and Expression Profiles of EC1 Gene Family during Development in Cotton,GENES,1,2021
Genome-Wide Identification of the NHX Gene Family in Punica granatum L. and Their Expressional Patterns under Salt Stress,AGRONOMY-BASEL,18,2021
Reconstructing the Evolutionary History of Chromosomal Races on islands: A Genome-Wide Analysis of Natural house Mouse Populations,MOLECULAR BIOLOGY AND EVOLUTION,15,2020
CRK2 and C-terminal Phosphorylation of NADPH Oxidase RBOHD Regulate Reactive Oxygen Species Production in Arabidopsis[OPEN],PLANT CELL,104,2020
The Salix psammophila SpRLCK1 involved in drought and salt tolerance,PLANT PHYSIOLOGY AND BIOCHEMISTRY,11,2019
"Genome-wide survey of B-box proteins in potato (Solanum tuberosum)-Identification, characterization and expression patterns during diurnal cycle, etiolation and de-etiolation",PLOS ONE,45,2017
Genomic Epidemiology and Molecular Resistance Mechanisms of Azithromycin-Resistant Neisseria gonorrhoeae in Canada from 1997 to 2014,JOURNAL OF CLINICAL MICROBIOLOGY,117,2016
Distilling Artificial Recombinants from Large Sets of Complete mtDNA Genomes,PLOS ONE,45,2008
Cambrian edrioasteroid reveals new mechanism for secondary reduction of the skeleton in echinoderms,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,1,2022
Molecular Confirmation and Genetic characterization of Haemonchus contortus Isolates at the Nuclear Ribosomal ITS2 Region: First Update from Jhang Region of Pakistan,PAKISTAN VETERINARY JOURNAL,8,2022
Molecular characterization and systematic analysis of NtAP2/ERF in tobacco and functional determination of NtRAV-4 under drought stress,PLANT PHYSIOLOGY AND BIOCHEMISTRY,28,2020
Multiple genotypes of Echovirus 11 circulated in mainland China between 1994 and 2017,SCIENTIFIC REPORTS,22,2019
Regulation of AP-1 by MAPK Signaling in Metal-Stressed Sea Anemone,CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,14,2017
Vocal Learning in the Functionally Referential Food Grunts of Chimpanzees,CURRENT BIOLOGY,152,2015
Molecular characterization of a stress-response bZIP transcription factor in banana,PLANT CELL TISSUE AND ORGAN CULTURE,19,2013
Two putative calcium-dependent protein kinases are involved in the regulation of sugarcane defense genes,PHYTOPATHOLOGY RESEARCH,0,2024
Comparative analysis of chloroplast genomes of two Chinese local citrus varieties and haplotype analysis with other citrus species,SOUTH AFRICAN JOURNAL OF BOTANY,0,2023
Comparative transcriptome analysis of sensory genes from the antenna and abdomen of Quadrastichus mendeli Kim,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,1,2023
Unravelling the dynamics of soil microbial communities under the environmental selection and range shift process in afforestation ecosystems,SCIENCE OF THE TOTAL ENVIRONMENT,0,2023
Electrostimulation triggers an increase in cross-niche microbial associations toward enhancing organic nitrogen wastewater treatment,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2,2023
Molecular Epidemiology Reveals the Co-Circulation of Two Genotypes of Coxsackievirus B5 in China,VIRUSES-BASEL,0,2022
Core Microbiota in the Rhizosphere of Heavy Metal Accumulators and Its Contribution to Plant Performance,ENVIRONMENTAL SCIENCE & TECHNOLOGY,22,2022
"Applying Genomic Epidemiology to Characterize a COVID-19 Outbreak in a Developmentally Disabled Adult Group Home Setting, Arizona",FRONTIERS IN PUBLIC HEALTH,3,2021
Evolutionary transitions in learning and cognition,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,34,2021
Rewiring the specificity of extracytoplasmic function sigma factors,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,13,2020
Aquatic long-distance dispersal and vicariance shape the evolution of an ostracod species complex (Crustacea) in four major Brazilian floodplains,MOLECULAR PHYLOGENETICS AND EVOLUTION,10,2018
Stability of characters and construction of phylogenetic trees,JOURNAL OF COMPUTATIONAL BIOLOGY,4,2007
"Reduced-median-network analysis of complete mitochondrial DNA coding-region sequences for the major African, Asian, and European haplogroups",AMERICAN JOURNAL OF HUMAN GENETICS,467,2002
"Origin, radiation, dispersion and allopatric hybridization in the chub Leuciscus cephalus",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,91,2000
Indole signaling enhances biofilm formation and quorum sensing in sequencing biofilm batch reactors,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,0,2024
Alborz Heritage: geographic distribution and genetic differentiation of the Iranian Paradactylodon (Amphibia: Hynobiidae),AMPHIBIA-REPTILIA,16,2020
Intelligent Design of 14-3-3 Docking Proteins Utilizing Synthetic Evolution Artificial Intelligence (SYN-AI),ACS OMEGA,1,2019
Comparative analysis of B-BOX genes and their expression pattern analysis under various treatments in Dendrobium officinale,BMC PLANT BIOLOGY,33,2019
Molecular Elucidation of Two Novel Seed Specific Flavonoid Glycosyltransferases in Soybean,JOURNAL OF PLANT BIOLOGY,7,2018
Metagenomic analysis reveals wastewater treatment plants as hotspots of antibiotic resistance genes and mobile genetic elements,WATER RESEARCH,572,2017
Two MYB transcription factors regulate flavonoid biosynthesis in pear fruit (Pyrus bretschneideri Rehd.),JOURNAL OF EXPERIMENTAL BOTANY,133,2016
Intracellular Protozoan Parasites of Humans: The Role of Molecular Chaperones in Development and Pathogenesis,PROTEIN AND PEPTIDE LETTERS,89,2011
Successive Cambia: A Developmental Oddity or an Adaptive Structure?,PLOS ONE,62,2011
Inferring historical introduction pathways with mitochondrial DNA:: the case of introduced Argentine ants (Linepithema humile) into New Zealand,DIVERSITY AND DISTRIBUTIONS,51,2007
Trehalose transporter-like gene diversity and dynamics enhances stress response and recovery in Helicoverpa armigera,GENE,2,2023
Rapid structural evolution of Dendrobium mitogenomes and mito-nuclear phylogeny discordances in Dendrobium (Orchidaceae),JOURNAL OF SYSTEMATICS AND EVOLUTION,4,2023
Genetic diversity of two color morphs of Northern snakehead (Channa argus) unveiled by the mitochondrial DNA D-loop region,MITOCHONDRIAL DNA PART B-RESOURCES,2,2022
"Genetic structure and diversity of the common pistachio psylla, Agonoscena pistaciae Burckhardt & Lauterer, (Hemiptera: Aphalaridae) in Iran",NORTH-WESTERN JOURNAL OF ZOOLOGY,1,2021
Forecasting the dissemination of antibiotic resistance genes across bacterial genomes,NATURE COMMUNICATIONS,113,2021
Cable bacteria extend the impacts of elevated dissolved oxygen into anoxic sediments,ISME JOURNAL,40,2021
Identification of CBF Transcription Factors in Tea Plants and a Survey of Potential CBF Target Genes under Low Temperature,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,33,2019
"Evolutionary history of a beautiful damselfly, Matrona basilaris, revealed by phylogeographic analyses: the first study of an odonate species in mainland China",HEREDITY,8,2019
Phylogeny of highly hybridogenous Iberian Centaurea L. (Asteraceae) taxa and its taxonomic implications,PLANT BIOSYSTEMS,9,2018
Preliminary study of the genetic diversity of eastern Assamese macaques (Macaca assamensis assamensis) in Thailand based on mitochondrial DNA and microsatellite markers,PRIMATES,7,2014
"Low variation but strong population structure in mitochondrial control region of the plains topminnow, Fundulus sciadicus",JOURNAL OF FISH BIOLOGY,16,2009
HIV-1 tropism and survival in vertically infected Ugandan infants,JOURNAL OF INFECTIOUS DISEASES,37,2008
A hard tick relapsing fever group spirochete in a Brazilian Rhipicephalus (Boophilus) microplus,VECTOR-BORNE AND ZOONOTIC DISEASES,30,2007
Usefulness of microsatellite typing in population genetic studies of Trypanosoma cruzi,MEMORIAS DO INSTITUTO OSWALDO CRUZ,53,2001
The galU gene of Streptococcus pneumoniae that codes for a UDP-glucose pyrophosphorylase is highly polymorphic and suitable for molecular typing and phylogenetic studies,GENE,29,2000
GeneWeb: A WWW hypertext concerning genetics and molecular biology,MINERVA BIOTECNOLOGICA,0,1996
Genome-Wide Identification and Expression Analysis of the Barrel Medic (Medicago truncatula) and Alfalfa (Medicago sativa L.) Basic Helix-Loop-Helix Transcription Factor Family Under Salt and Drought Stresses,JOURNAL OF PLANT GROWTH REGULATION,4,2021
The Space of Equidistant Phylogenetic Cactuses,ANNALS OF COMBINATORICS,0,2024
Mitochondrial diversity and population structure of grass carp (Ctenopharyngodon idella) in the Pearl River after anthropogenic release,KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,3,2022
Phylogeographic structure and population demography of the leopard mandarin fish (Siniperca scherzeri) in the Pearl River drainage,ENVIRONMENTAL BIOLOGY OF FISHES,2,2022
Comparative Transcriptomics Reveals Distinct Patterns of Gene Expression Conservation through Vertebrate Embryogenesis,GENOME BIOLOGY AND EVOLUTION,3,2021
"Phylogeography of the genus Chondrostoma Agassiz, 1835 (Teleostei: Leuciscidae) in Anatolia, as inferred from mitochondrial DNA analysis",ZOOLOGY IN THE MIDDLE EAST,6,2020
Development of biological soil crust prompts convergent succession of prokaryotic communities,CATENA,37,2020
Identification of the GRAS gene family in the Brassica juncea genome provides insight into its role in stem swelling in stem mustard,PEERJ,20,2019
Exploring the oral microflora of preschool children,JOURNAL OF MICROBIOLOGY,20,2017
Micro- and Macroevolutionary Trade-Offs in Plant-Feeding Insects,AMERICAN NATURALIST,19,2016
Evolution of the tyrosinase gene family in bivalve molluscs: Independent expansion of the mantle gene repertoire,ACTA BIOMATERIALIA,76,2014
"Population genetic structure of the pumpkin fruit fly, Bactrocera tau (Walker) (Diptera: Tephritidae) in Himachal Pradesh, India",BIOCHEMICAL SYSTEMATICS AND ECOLOGY,17,2013
"Phylogeographic relationships among worldwide populations of the cosmopolitan marine species, the striped gray mullet (Mugil cephalus), investigated by partial cytochrome b gene sequences",BIOCHEMICAL SYSTEMATICS AND ECOLOGY,19,2011
Population differentiation and selective constraints in Pelargonium line pattern virus,VIRUS RESEARCH,7,2011
"Population genetic studies of Alouatta caraya (Alouattinae, primates):: Inferences on geographic distribution and ecology",AMERICAN JOURNAL OF PRIMATOLOGY,15,2007
Sequence analysis and immunofluorescence study of alpha- and beta-tubulins in Reticulomyxa filosa: Implications of the high degree of beta 2-tubulin divergence,CELL MOTILITY AND THE CYTOSKELETON,21,1997
Analysis of the Genomic Features and Evolutionary History of Pithovirus-Like Isolates Reveals Two Major Divergent Groups of Viruses,JOURNAL OF VIROLOGY,3,2023
"Unraveling patterns and processes of diversification in the South Andean-Patagonian Nassauvia subgenus Strongyloma (Asteraceae, Nassauvieae)",MOLECULAR PHYLOGENETICS AND EVOLUTION,10,2019
"Measuring the surrogacy potential of charismatic megafauna species across taxonomic, phylogenetic and functional diversity on a megadiverse island",JOURNAL OF APPLIED ECOLOGY,19,2019
Post-translational protein deimination signatures in sea lamprey (Petromyzon marinus) plasma and plasma-extracellular vesicles,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,5,2021
Accessing the past: use of collection specimens as sources of genetic information for the genus Bombus (Hymenoptera: Apidae) in Colombia,REVISTA DE BIOLOGIA TROPICAL,2,2020
Genetic Polymorphism and Phylogenetics of Aedes aegypti from Sudan Based on ND4 Mitochondrial Gene Variations,INSECTS,2,2022
Transmission of Hepatitis B and D Viruses in an African Rural Community,MSYSTEMS,5,2018
"A high HIV-1 strain variability in London, UK, revealed by full-genome analysis: Results from the ICONIC project",PLOS ONE,16,2018
SARS-CoV-2 genomic analyses in cancer patients reveal elevated intrahost genetic diversity,VIRUS EVOLUTION,19,2021
Population genetics of cape and brown hares (Lepus capensis and L europaeus):: A test of Petter's hypothesis of conspecificity,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,45,2008
Genetic evidence for the spread of a benzimidazole resistance mutation across southern India from a single origin in the parasitic nematode Haemonchus contortus,INTERNATIONAL JOURNAL FOR PARASITOLOGY,67,2015
GBSOT4 Enhances the Resistance of Gossypium barbadense to Fusarium oxysporum f. sp. vasinfectum (FOV) by Regulating the Content of Flavonoid,PLANTS-BASEL,1,2023
Phylogenetic implications of corolla morphology in subfamily Barnadesioideae (Asteraceae),FLORA,13,2006
Unique Patterns and Biogeochemical Relevance of Two-Component Sensing in Marine Bacteria,MSYSTEMS,28,2019
"Phylogenetics and genetic diversity of the Cotesia flavipes complex of parasitoid wasps (Hymenoptera: Braconidae), biological control agents of lepidopteran stemborers",MOLECULAR PHYLOGENETICS AND EVOLUTION,37,2012
Do freshwater ecoregions and continental shelf width predict patterns of historical gene flow in the freshwater fish Poecilia butleri?,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,13,2014
"DNA Barcoding versus Morphological Variability of Pterostichus brevicornis brevicornis (Kirby, 1837) (Coleoptera, Carabidae) in the Arctic and Subarctic",INSECTS,4,2022
Phylogeographic analysis and species distribution modelling of the wood frog Batrachyla leptopus (Batrachylidae) reveal interglacial diversification in south western Patagonia,PEERJ,6,2020
"Genetic diversity and transmission patterns of Burkholderia pseudomallei on Hainan island, China, revealed by a population genomics analysis",MICROBIAL GENOMICS,5,2021
"Genome-wide identification of DCL, AGO and RDR gene families and their associated functional regulatory element analyses in sunflower (Helianthus annuus)",PLOS ONE,0,2023
Using Core Genome Alignments To Assign Bacterial Species,MSYSTEMS,53,2018
Phylogeny and Biogeographic History of Parnassius Butterflies (Papilionidae: Parnassiinae) Reveal Their Origin and Deep Diversification in West China,INSECTS,10,2022
Evidence of new species for malaria vector Anopheles nuneztovari sensu lato in the Brazilian Amazon region,MALARIA JOURNAL,27,2016
Two recently duplicated maize NAC transcription factor paralogs are induced in response to Colletotrichum graminicola infection,BMC PLANT BIOLOGY,48,2013
Growth history of hepatitis C virus among HIV/HCV co-infected patients in Guizhou Province,FRONTIERS IN GENETICS,1,2023
"Evolution of Toll, Spatzle and MyD88 in insects: the problem of the Diptera bias",BMC GENOMICS,13,2021
Analysis of genetic diversity in two different shell colors of the giant triton snail (Charonia tritonis) based on mitochondrial COI sequences,FRONTIERS IN MARINE SCIENCE,0,2023
A systematic pipeline for classifying bacterial operons reveals the evolutionary landscape of biofilm machineries,PLOS COMPUTATIONAL BIOLOGY,27,2020
Human protein-RNA interaction network is highly stable across mammals,BMC GENOMICS,9,2019
ARGNet: using deep neural networks for robust identification and classification of antibiotic resistance genes from sequences,MICROBIOME,0,2024
Translocation of nitrogen and carbon integrates biotic crust and grass production in desert grassland,JOURNAL OF ECOLOGY,72,2008
Transcriptome-wide identification of MAPKKK genes in bermudagrass (Cynodon dactylon L.) and their potential roles in low temperature stress responses,PEERJ,3,2020
"Organelle DNA phylogeography of Cycas taitungensis, a relict species in Taiwan",MOLECULAR ECOLOGY,124,2001
"k-mer Similarity, Networks of Microbial Genomes, and Taxonomic Rank",MSYSTEMS,26,2018
"Prevalence of Drug Resistance and Genetic Transmission Networks Among Human Immunodeficiency Virus/Acquired Immunodeficiency Syndrome Patients with Antiretroviral Therapy Failure in Guangxi, China",AIDS RESEARCH AND HUMAN RETROVIRUSES,5,2022
RNA sequencing and weighted gene co-expression network analysis uncover the hub genes controlling cold tolerance in Helictotrichon virescens seedlings,FRONTIERS IN PLANT SCIENCE,3,2022
Intraspecies Transcriptional Profiling Reveals Key Regulators of Candida albicans Pathogenic Traits,MBIO,16,2021
New insights into the haplotype diversity of the cosmopolitan cat flea Ctenocephalides felis (Siphonaptera: Pulicidae),VETERINARY PARASITOLOGY,15,2020
Genome-Wide Analysis and Expression Profiling of the Heat Shock Factor Gene Family in Phyllostachys edulis during Development and in Response to Abiotic Stresses,FORESTS,18,2019
Principles underlying mammalian neocortical scaling,BIOLOGICAL CYBERNETICS,117,2001
A blueprint of mammalian cortical connectomes,PLOS BIOLOGY,49,2019
Spatiotemporal Patterns of CRF07_BC in China: A Population-Based Study of the HIV Strain With the Highest Infection Rates,FRONTIERS IN IMMUNOLOGY,8,2022
"Genetic diversity in Echinococcus shiquicus from the plateau pika (Ochotona curzoniae) in Darlag County, Qinghai, China",INFECTION GENETICS AND EVOLUTION,9,2016
The middle meningeal artery: from clinics to fossils,CHILDS NERVOUS SYSTEM,48,2008
"Catecholamines, cardiac natriuretic peptides and chromogranin A: evolution and physiopathology of a 'whip-brake' system of the endocrine heart",JOURNAL OF EXPERIMENTAL BIOLOGY,58,2010
PaPYL9 is involved in the regulation of apricot fruit ripening through ABA signaling pathway,HORTICULTURAL PLANT JOURNAL,7,2022
Putting vascular epiphytes on the traits map,JOURNAL OF ECOLOGY,20,2022
"Cryptic species and colonization processes in Ophryotrocha (Annelida, Dorvilleidae) inhabiting vertebrate remains in the shallow-water Mediterranean",ZOOLOGICA SCRIPTA,12,2017
"Genetic analysis of GEFs and GDIs in rice reveals the roles of OsGEF5, OsGDI1, and OsGEF3 in the regulation of grain size and plant height",CROP JOURNAL,3,2023
Tracing Worldwide Turkey Genetic Diversity Using D-loop Sequence Mitochondrial DNA Analysis,ANIMALS,16,2019
"Identification, Comparison, and Validation of Robust Rumen Microbial Biomarkers for Methane Emissions Using Diverse Bos Taurus Breeds and Basal Diets",FRONTIERS IN MICROBIOLOGY,62,2018
PacBio Sequencing Unravels Soil Bacterial Assembly Processes along a Gradient of Organic Fertilizer Application,AGRONOMY-BASEL,0,2023
"Overexpression of an Orchid (Dendrobium nobile) SOC1/TM3-Like Ortholog, DnAGL19, in Arabidopsis Regulates HOS1-FT Expression",FRONTIERS IN PLANT SCIENCE,33,2016
Comparative metabarcoding and biodiversity of gut-associated fungal assemblages of Dendroctonus species (Curculionidae: Scolytinae),FRONTIERS IN MICROBIOLOGY,0,2024
Conserved intramolecular networks in GDAP1 are closely connected to CMT-linked mutations and protein stability,PLOS ONE,2,2023
"Inhibition of immune pathway-initiating hemolymph protease-14 by Manduca sexta serpin-12, a conserved mechanism for the regulation of melanization and Toll activation in insects",INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,20,2020
HCV transmission in high-risk communities in Bulgaria,PLOS ONE,4,2019
Identification of keystone taxa in root canals and periapical lesions of post-treatment endodontic infections: Next generation microbiome research,INTERNATIONAL ENDODONTIC JOURNAL,0,2024
Transcription Inhibitors with XRE DNA-Binding and Cupin Signal-Sensing Domains Drive Metabolic Diversification in Pseudomonas,MSYSTEMS,18,2021
